slug;price_economy;price_comfort;distance_km
aeroport-bogashyovo-seversk;3000;3000;40
aeroport-bogashyovo-yurga;3800;4500;125
aeroport-gagarin-balakovo;4300;5100;155
aeroport-gagarin-volsk;3600;4400;121
aeroport-kolczovo-chelyabinsk;5000;6000;200
aeroport-kolczovo-kamensk-uralskij;3000;3600;100
aeroport-kolczovo-kurgan;9000;10800;360
aeroport-kolczovo-miass;5800;6900;230
aeroport-kolczovo-nizhnij-tagil;4200;5100;141
aeroport-kolczovo-pervouralsk;3000;3000;60
aeroport-krasnodar-pashkovskij-doneczk-rostovskaya-oblast;10900;13100;437
aeroport-kurumoch-buguruslan;5100;6100;185
aeroport-kurumoch-buzuluk;5000;6000;200
aeroport-kurumoch-granicza-kazaxstan;7500;9000;300
aeroport-kurumoch-orenburg;11000;13200;440
aeroport-kurumoch-pervomajsk;15800;19000;632
aeroport-kurumoch-syzran;4200;5000;152
aeroport-platov-app-bugaevka;9100;10900;363
aeroport-pulkovo-ivangorod;4500;5400;165
aeroport-pulkovo-murmansk;34200;41100;1370
aeroport-pulkovo-pskov;7500;9000;300
aeroport-pulkovo-tixvin;5600;6800;225
aeroport-pulkovo-velikij-novgorod;5200;6300;190
aeroport-tolmachevo-novosibirsk-novoaltaysk;6800;8000;222
aldan-jakutsk;13100;15800;525
arxangelsk-vologda;19100;23000;765
astraxan-adler;27800;33300;1110
astraxan-app-karauzek;3000;3000;60
astraxan-axtubinsk;7800;9300;310
astraxan-belgorod;35500;38000;1260
astraxan-budyonnovsk;12500;15000;500
astraxan-ejsk;22400;26800;895
astraxan-elista;7800;9300;310
astraxan-feodosiya;29100;35000;1165
astraxan-gelendzhik;24500;29400;980
astraxan-gorod-lagan;4800;5800;175
astraxan-granicza-kazaxstan;3000;3200;70
astraxan-ilinka;1000;1000;20
astraxan-kamensk-shaxtinskij;19400;23200;775
astraxan-kamyzyak;3000;3000;35
astraxan-kazan;36500;43800;1460
astraxan-kerch;30000;32500;1070
astraxan-kislovodsk;16900;20200;675
astraxan-kozlovo;2500;2500;55
astraxan-krasnye-barrikady;1500;1500;30
astraxan-lagan;4800;5800;175
astraxan-liman;3200;3800;105
astraxan-lipeczk;31500;33500;1110
astraxan-mineralnye-vody;15500;18600;620
astraxan-moskva;34900;41800;1395
astraxan-narimanov;2000;2500;45
astraxan-neftekumsk;12000;13000;420
astraxan-nizhnij-novgorod;39500;42500;1410
astraxan-novorossijsk;27500;29500;970
astraxan-orenburg;45500;49000;1620
astraxan-penza;28500;30500;1010
astraxan-posyolok-czagan-aman;5000;5900;180
astraxan-posyolok-komsomolskij;7000;7500;235
astraxan-posyolok-yashkul;5600;6800;225
astraxan-pyatigorsk;16000;19200;640
astraxan-rostov-na-donu;19200;23100;770
astraxan-ryazan;34500;37000;1220
astraxan-sankt-peterburg;52600;63200;2105
astraxan-saratov;20000;24000;800
astraxan-sevastopol;38000;40500;1350
astraxan-sochi;27100;32600;1085
astraxan-stanicza-kurskaya;15500;16500;540
astraxan-staricza;45500;49000;1620
astraxan-stavropol;14500;17400;580
astraxan-tambov;27000;28500;950
astraxan-temryuk;27500;29500;970
astraxan-tuapse;27500;29500;970
astraxan-ufa;47500;50500;1680
astraxan-valujki;28800;34500;1150
astraxan-verxnij-baskunchak;8500;10200;340
astraxan-volgo-kaspijskij;1500;1500;25
astraxan-volgodonsk;15500;16500;550
astraxan-volgograd;10600;12800;425
astraxan-volzhskij;11000;13200;440
astraxan-voronezh;28000;30000;1000
astraxan-xarabali;4400;5300;160
astraxan-yalta;33600;40400;1345
astraxan-zavolzhskoe;5500;5500;140
astraxan-zelenokumsk;16000;17000;560
astraxan-zheleznovodsk;18000;19500;640
astraxan-znamensk;10500;11000;360
barnaul-abakan;32000;34500;1140
barnaul-aeroport-tolmachevo-novosibirsk;7500;8000;255
barnaul-alyaysk;4000;4900;135
barnaul-belokuriha;5600;6800;225
barnaul-berdsk;6500;6500;195
barnaul-biysk-2;4400;5300;160
barnaul-cherepanovo-2;5000;5500;135
barnaul-gorno-altaysk;6400;7600;255
barnaul-iskitim-2;6000;6000;180
barnaul-krasnoyarsk;23000;27600;920
barnaul-kyzyl;43000;46000;1520
barnaul-novoaltaysk;1000;1000;20
barnaul-novokuznetsk;11500;12500;410
barnaul-omsk;24500;26500;875
barnaul-rubtsovsk;7400;8800;295
barnaul-slavgorod;12500;13500;440
barnaul-tomsk;12200;14700;490
barnaul-yarovoe;13000;13500;450
barnaul-yurga;11500;12500;410
barnaul-zarinsk;4500;4500;115
barnaul-zmeinogorsk-2;8200;9900;330
belgorod-adler;35500;38000;1260
belgorod-alekseevka;35500;38000;1260
belgorod-app-kolotilovka;3000;3600;100
belgorod-arxangelsk;53500;57000;1900
belgorod-biryuch;5500;6000;150
belgorod-boguchar;10500;11000;360
belgorod-borovichi;31000;33000;1100
belgorod-chelyabinsk;56500;60500;2010
belgorod-chernyanka;3200;3800;105
belgorod-ekaterinburg;61000;65000;2165
belgorod-granicza-kitaj;3000;3500;78
belgorod-granicza-ukraina;4100;5000;150
belgorod-ivnya;3500;3500;75
belgorod-kaluga;14500;15500;505
belgorod-kanevskaya;21700;26000;867
belgorod-kazan;32100;38600;1285
belgorod-kerch;33500;36000;1190
belgorod-korocha;3000;3000;55
belgorod-krasnaya-yaruga;3500;4000;80
belgorod-krasnyj-oktyabr;1500;2000;35
belgorod-lipeck;11000;12000;385
belgorod-liski;7500;8000;260
belgorod-livny;8500;9000;300
belgorod-maslova-pristan;1000;1000;20
belgorod-millerovo;13500;14500;480
belgorod-moskva;16500;19800;660
belgorod-murom;27500;29500;970
belgorod-naro-fominsk;17500;19000;620
belgorod-nizhnij-novgorod;30500;32500;1080
belgorod-novyj_oskol;4500;4500;110
belgorod-obninsk;17000;18000;590
belgorod-oboyan;3500;4000;80
belgorod-orel;8500;9000;300
belgorod-penza;21500;23000;765
belgorod-petrozavodsk;47000;50000;1660
belgorod-pskov;28400;34000;1135
belgorod-ramenskoe;17200;20700;690
belgorod-rossosh;6500;7800;260
belgorod-rossosh-2;6500;7800;260
belgorod-rovenki;6000;7200;240
belgorod-ryazan;18000;19500;640
belgorod-rylsk;6500;7000;230
belgorod-samara;33500;36000;1190
belgorod-sankt-peterburg;38500;41000;1365
belgorod-saratov;19400;23200;775
belgorod-selo-troiczkoe;5000;5500;135
belgorod-serpuxov;14300;17200;573
belgorod-sevastopol;41500;44500;1470
belgorod-shebekino;1500;2000;35
belgorod-simferopol;39000;41500;1380
belgorod-smolensk;16800;20100;670
belgorod-smolensk-2;16800;20100;670
belgorod-sochi;34500;37000;1230
belgorod-stavropol;30000;32000;1055
belgorod-stroitel;1500;1500;25
belgorod-tambov;11900;14200;475
belgorod-tomarovka;1500;1500;30
belgorod-tula;14000;15000;485
belgorod-tver;20800;24900;830
belgorod-ufa;40000;48000;1600
belgorod-urazovo;4400;5300;160
belgorod-valujki;4400;5300;147
belgorod-vejdelevka;5500;6000;175
belgorod-velikij-novgorod;29900;35800;1195
belgorod-vladimir;21000;25200;840
belgorod-volgograd;20200;24300;810
belgorod-vologda;28200;33900;1130
belgorod-volokonovka;4500;4500;115
belgorod-voronezh;6400;7600;255
belgorod-yakovlevo;1500;1500;30
belgorod-yaroslavl;23400;28000;935
belogorsk-blagoveshhensk;3900;4700;130
blagoveshhensk-aldan;31000;37200;1240
blagoveshhensk-belogorsk;3900;4700;130
blagoveshhensk-birobidzhan;13000;15600;520
blagoveshhensk-chita;38000;45600;1520
blagoveshhensk-cziolkovskij;6100;7400;245
blagoveshhensk-jakutsk;44100;53000;1765
blagoveshhensk-komsomolsk-na-amure;31000;33000;1090
blagoveshhensk-kuldur;12500;13000;430
blagoveshhensk-nerjungri;24500;29400;980
blagoveshhensk-obluche;10500;11000;360
blagoveshhensk-rajchixinsk;4700;5600;170
blagoveshhensk-shimanovsk;7400;8800;295
blagoveshhensk-skovorodino;16000;19200;640
blagoveshhensk-svobodnyj;4300;5100;155
blagoveshhensk-tommot;37000;40000;1320
blagoveshhensk-tynda;19400;23200;775
blagoveshhensk-uglegorsk;146000;156000;5200
blagoveshhensk-ulan-ude;62000;66000;2200
blagoveshhensk-ussurijsk;39000;42000;1390
blagoveshhensk-vladivostok;35400;42400;1415
blagoveshhensk-xabarovsk;18000;21600;720
blagoveshhensk-zavitinsk;4700;5600;170
blagoveshhensk-zeya;12800;15300;510
bratsk-irkutsk;17500;19000;620
bratsk-krasnojarsk;17000;20400;680
bryansk-adler;45000;48000;1600
bryansk-belaya-beryozka;3900;4700;130
bryansk-belgorod;12000;13000;420
bryansk-bytosh;3500;4000;80
bryansk-desnogorsk;5500;6000;175
bryansk-domodedovo;11500;12000;400
bryansk-doneczk-rostovskaya-oblast;29200;35100;1170
bryansk-dubrovka;3400;4000;90
bryansk-dyatkovo;3000;3000;45
bryansk-gelendzhik;41500;44500;1470
bryansk-ivot;3000;3000;60
bryansk-kaluga;5600;6800;225
bryansk-kamenka;22000;23500;780
bryansk-karachev;3000;3000;45
bryansk-kirov-kaluzhskaya-oblast;38500;41500;1370
bryansk-kletnya;3600;4300;95
bryansk-klimovo;5400;6400;215
bryansk-komarichi;5000;5500;130
bryansk-krasnaya-gora;6500;7000;230
bryansk-kursk;8000;9000;285
bryansk-lipeczk;12500;13000;430
bryansk-livny;8000;8500;270
bryansk-lokot;3600;4300;95
bryansk-lyudinovo;3000;3600;80
bryansk-murom;17900;21400;715
bryansk-naro-fominsk;9000;10000;320
bryansk-navlya;3000;3000;60
bryansk-nizhnij-novgorod;20500;24600;820
bryansk-novomoskovsk;8800;10500;351
bryansk-novozybkov;6500;7000;200
bryansk-obninsk;8500;9000;285
bryansk-oryol;5000;5500;130
bryansk-pochep;3500;4000;80
bryansk-pogar;3800;4500;125
bryansk-pskov;20000;21500;705
bryansk-rognedino;4000;4000;100
bryansk-rossosh;18000;19000;630
bryansk-rostov-na-donu;25800;30900;1030
bryansk-rylsk;6000;6500;210
bryansk-sankt-peterburg;27000;32400;1080
bryansk-selo-troiczkoe;3300;4000;110
bryansk-sevsk;5500;5500;140
bryansk-simferopol;48500;52000;1720
bryansk-smolensk;6100;7400;245
bryansk-sochi;44500;47500;1580
bryansk-star;3000;3000;65
bryansk-starodub;4200;5000;140
bryansk-stavropol;34100;41000;1365
bryansk-surazh;5500;5500;165
bryansk-suzemka;5000;5500;160
bryansk-trubchevsk;4500;4500;95
bryansk-tula;9500;10000;330
bryansk-tver;13000;15600;520
bryansk-unecha;4200;5000;140
bryansk-voronezh;12500;13500;445
bryansk-vygonichi;1500;1500;30
bryansk-xvalynsk;29900;35900;1196
bryansk-zlynka;6500;6500;215
cheboksary-alatyr;6500;6500;195
cheboksary-belebej;17000;18000;590
cheboksary-bugulma;13000;14000;460
cheboksary-czivilsk;2000;2000;35
cheboksary-dubrovka;28600;34300;1143
cheboksary-granicza-kazaxstan;23500;25000;830
cheboksary-izhevsk;15000;16000;520
cheboksary-kanash;5000;5900;180
cheboksary-kirov;11500;12000;395
cheboksary-komsomolskij;15500;16500;540
cheboksary-kozlovka;4000;4500;95
cheboksary-kozmodemyansk;3000;3500;70
cheboksary-krasnoarmejsk;21000;22500;740
cheboksary-kstovo;6000;6500;215
cheboksary-lyskovo;5000;5500;160
cheboksary-magnitogorsk;25900;31000;1035
cheboksary-naberezhnye-chelny;11500;12500;405
cheboksary-nizhnekamsk;10500;11500;370
cheboksary-nizhnij-novgorod;7000;7500;240
cheboksary-novocheboksarsk;3000;3000;15
cheboksary-obninsk;19200;23100;770
cheboksary-oktyabrskij-respublika-bashkortostan;16000;17000;560
cheboksary-penza;13500;14500;470
cheboksary-perm;20500;22000;725
cheboksary-pilna;5500;6000;175
cheboksary-posyolok-komsomolskij;7500;8000;260
cheboksary-rostov-na-donu;34800;41700;1390
cheboksary-sergach;5500;5500;165
cheboksary-shumerlya;4000;4500;105
cheboksary-sosnovka;10000;10500;340
cheboksary-sterlitamak;23000;25000;820
cheboksary-surskoe;7000;7500;235
cheboksary-syktyvkar;19600;23600;785
cheboksary-syzran;10500;11500;370
cheboksary-ulyanovsk;7000;7500;240
cheboksary-vasilsursk;4000;4000;100
cheboksary-volzhsk;4500;4500;110
cheboksary-vorotynecz;4000;4000;100
cheboksary-yadrin;3500;4000;80
cheboksary-yaransk;5500;6000;175
cheboksary-yurino;4000;4000;85
cheboksary-zelenodolsk;4500;5000;120
cheboksary-zvenigovo;3500;4000;85
cheljabinsk-beloreck;7100;8600;285
cheljabinsk-kurgan;6800;8100;270
cheljabinsk-magnitogorsk;7800;9300;310
cheljabinsk-sibaj;9500;11400;380
cheljabinsk-uchaly;5200;6300;190
chelyabinsk-adler;76500;82000;2720
chelyabinsk-anapa;71500;77000;2555
chelyabinsk-app-bugristoe;5000;5000;150
chelyabinsk-bajmak;11200;13500;450
chelyabinsk-bakal;6000;6500;205
chelyabinsk-berdyaush;6000;6500;190
chelyabinsk-berezniki;21000;22500;750
chelyabinsk-chebarkul;3200;3800;85
chelyabinsk-dimitrovgrad;25500;27000;900
chelyabinsk-dubrovka;2500;2500;50
chelyabinsk-ekaterinburg;5200;6300;210
chelyabinsk-elan;43500;46500;1540
chelyabinsk-emanzhelinsk;2500;2500;55
chelyabinsk-granicza-kazaxstan;4100;5000;150
chelyabinsk-izhevsk;18900;22600;755
chelyabinsk-joshkar-ola;27200;32600;1088
chelyabinsk-karabash;4500;4500;110
chelyabinsk-kargapole;8000;8500;275
chelyabinsk-kazan;24000;28800;960
chelyabinsk-kopejsk;3000;3000;15
chelyabinsk-korkino;3000;3000;40
chelyabinsk-krasnogorsk;50000;53500;1770
chelyabinsk-krasnogorskij;3500;3500;70
chelyabinsk-kropachyovo;8000;8500;275
chelyabinsk-kursk;49800;59700;1990
chelyabinsk-kurtamysh;7000;7500;250
