url,gorod1,gorod2,freq,price,position_display,total_competition,federal_count,regional_count,monthly_revenue,composite_score,segment
https://city2city.ru/ekaterinburg-sibaj.html,Екатеринбург,Сибай,40889,17700,not ranking,4,1,3,36186765.0,94.27661780526208,DIRECT_ONLY
https://city2city.ru/cheljabinsk-sibaj.html,Челябинск,Сибай,28072,11400,not ranking,3,0,3,16001040.0,83.00418857685563,DIRECT_ONLY
https://city2city.ru/rostov-rostov-velikij.html,Ростов-на-Дону,Ростов,19134,39000,not ranking,14,1,13,37311300.0,70.53792547397381,SEO_INVEST_DIRECT
https://city2city.ru/donetsk-orenburg.html,Донецк,Оренбург,10273,53000,not ranking,5,1,4,27223450.0,69.85099823219059,DIRECT_ONLY
https://city2city.ru/donetsk-ufa.html,Донецк,Уфа,10273,57300,not ranking,6,1,5,29432145.0,69.33707592813323,SEO_INVEST_DIRECT
https://city2city.ru/donetsk-kirov.html,Донецк,Киров,10273,56000,not ranking,6,1,5,28764400.0,69.28537806241148,SEO_INVEST_DIRECT
https://city2city.ru/donetsk-kazan.html,Донецк,Казань,10273,47500,not ranking,6,1,5,24398375.0,68.91452901024286,SEO_INVEST_DIRECT
https://city2city.ru/donetsk-yoshkar-ola.html,Донецк,Йошкар-Ола,10273,47000,not ranking,6,1,5,24141550.0,68.89069040532615,SEO_INVEST_DIRECT
https://city2city.ru/donetsk-saransk.html,Донецк,Саранск,10273,35000,not ranking,6,1,5,17977750.0,68.22658985724911,SEO_INVEST_DIRECT
https://city2city.ru/donetsk-saratov.html,Донецк,Саратов,10273,29000,not ranking,6,1,5,14895850.0,67.80296384166942,SEO_INVEST_DIRECT
https://city2city.ru/donetsk-tambov.html,Донецк,Тамбов,10273,26000,not ranking,6,1,5,13354900.0,67.55697138929014,SEO_INVEST_DIRECT
https://city2city.ru/donetsk-volgograd.html,Донецк,Волгоград,10273,18600,not ranking,5,1,4,9553890.0,67.49212799356265,DIRECT_ONLY
https://city2city.ru/donetsk-maykop.html,Донецк,Майкоп,10273,22000,not ranking,6,1,5,11300300.0,67.18065190672021,SEO_INVEST_DIRECT
https://city2city.ru/samara-pervomajsk.html,Самара,Первомайск,31,63000,not ranking,0,0,0,97650.0,64.92173775946547,NEW_P1
https://city2city.ru/sankt-peterburg-krasnogvardejskoe.html,Санкт-Петербург,село Красногвардейское,16,63000,not ranking,0,0,0,50400.0,64.90889812044276,NEW_P1
https://city2city.ru/sankt-peterburg-leningradskaya.html,Санкт-Петербург,станица Ленинградская,218,58000,not ranking,0,0,0,632200.0,64.89552252653175,NEW_P1
https://city2city.ru/krasnodar-neya.html,Краснодар,Нея,9,58000,not ranking,0,0,0,26100.0,64.71662355614852,NEW_P1
https://city2city.ru/moskva-sevastopol.html,Москва,Севастополь,51,57000,not ranking,0,0,0,145350.0,64.71339554675569,NEW_P1
https://city2city.ru/moskva-krasnogvardejskoe.html,Москва,село Красногвардейское,173,54000,not ranking,0,0,0,467100.0,64.69602553176627,NEW_P1
https://city2city.ru/moskva-simferopol.html,Москва,Симферополь,93,54000,not ranking,0,0,0,251100.0,64.62754745697842,NEW_P1
https://city2city.ru/rostov-kirov.html,Ростов-на-Дону,Киров,15,54000,not ranking,0,0,0,40500.0,64.56078133406028,NEW_P1
https://city2city.ru/moskva-sochi.html,Москва,Сочи,204,49500,not ranking,0,0,0,504900.0,64.52654753905023,NEW_P1
https://city2city.ru/moskva-dzhankoj.html,Москва,Джанкой,59,51000,not ranking,0,0,0,150450.0,64.46968169367558,NEW_P1
https://city2city.ru/sankt-peterburg-strizhi.html,Санкт-Петербург,деревня Стрижи,14,48000,not ranking,0,0,0,33600.0,64.29459191577894,NEW_P1
https://city2city.ru/kirov-kirov-kaluzhskaya-oblast.html,Киров,Киров,498,39000,not ranking,0,0,0,971100.0,64.24113036593954,NEW_P1
https://city2city.ru/rostov-lyubim.html,Ростов-на-Дону,Любим,56,46000,not ranking,0,0,0,128800.0,64.2346677178262,NEW_P1
https://city2city.ru/bryansk-otradnyj.html,Брянск,Отрадный,9,46500,not ranking,0,0,0,20925.0,64.21879088188973,NEW_P1
https://city2city.ru/moskva-otradnaya.html,Москва,станица Отрадная,59,45000,not ranking,0,0,0,132750.0,64.18772320626721,NEW_P1
https://city2city.ru/moskva-ufa.html,Москва,Уфа,323,40500,not ranking,0,0,0,654075.0,64.17635289860218,NEW_P1
https://city2city.ru/kirov-volgograd.html,Киров,Волгоград,21,45000,not ranking,0,0,0,47250.0,64.15519612074299,NEW_P1
https://city2city.ru/donetsk-samara.html,Донецк,Самара,104,43500,not ranking,0,0,0,226200.0,64.14987128757213,NEW_P1
https://city2city.ru/moskva-astraxan.html,Москва,Астрахань,60,43500,not ranking,0,0,0,130500.0,64.11220834643882,NEW_P1
https://city2city.ru/moskva-leningradskaya.html,Москва,станица Ленинградская,406,37500,not ranking,0,0,0,761250.0,64.07402745538039,NEW_P1
https://city2city.ru/donetsk-tver.html,Донецк,Тверь,11,43500,not ranking,0,0,0,23925.0,64.07026552563126,NEW_P1
https://city2city.ru/donetsk-nizhniy-novgorod.html,Донецк,Нижний Новгород,9,43500,not ranking,0,0,0,19575.0,64.06855357376156,NEW_P1
