Кампания;Группа;Фраза;Заголовок;Текст;Ссылка;Цена;Частотность;Сегмент;Приоритет;Рекомендация_ставка
City2City_DIRECT_ONLY;Екатеринбург - Сибай;такси Екатеринбург Сибай;Такси Екатеринбург → Сибай;Заказать такси Екатеринбург – Сибай. Фиксированная цена 17700₽. Комфортные авто.;https://city2city.ru/ekaterinburg-sibaj;17700;40889;DIRECT_ONLY;ВЫСОКИЙ;50-80₽
City2City_DIRECT_ONLY;Екатеринбург - Сибай;такси Екатеринбург Сибай цена;Такси Екатеринбург → Сибай;Заказать такси Екатеринбург – Сибай. Фиксированная цена 17700₽. Комфортные авто.;https://city2city.ru/ekaterinburg-sibaj;17700;40889;DIRECT_ONLY;ВЫСОКИЙ;50-80₽
City2City_DIRECT_ONLY;Екатеринбург - Сибай;заказать такси Екатеринбург Сибай;Такси Екатеринбург → Сибай;Заказать такси Екатеринбург – Сибай. Фиксированная цена 17700₽. Комфортные авто.;https://city2city.ru/ekaterinburg-sibaj;17700;40889;DIRECT_ONLY;ВЫСОКИЙ;50-80₽
City2City_DIRECT_ONLY;Челябинск - Сибай;такси Челябинск Сибай;Такси Челябинск → Сибай;Заказать такси Челябинск – Сибай. Фиксированная цена 11400₽. Комфортные авто.;https://city2city.ru/cheljabinsk-sibaj;11400;28072;DIRECT_ONLY;ВЫСОКИЙ;50-80₽
City2City_DIRECT_ONLY;Челябинск - Сибай;такси Челябинск Сибай цена;Такси Челябинск → Сибай;Заказать такси Челябинск – Сибай. Фиксированная цена 11400₽. Комфортные авто.;https://city2city.ru/cheljabinsk-sibaj;11400;28072;DIRECT_ONLY;ВЫСОКИЙ;50-80₽
City2City_DIRECT_ONLY;Челябинск - Сибай;заказать такси Челябинск Сибай;Такси Челябинск → Сибай;Заказать такси Челябинск – Сибай. Фиксированная цена 11400₽. Комфортные авто.;https://city2city.ru/cheljabinsk-sibaj;11400;28072;DIRECT_ONLY;ВЫСОКИЙ;50-80₽
City2City_DIRECT_ONLY;Донецк - Волгоград;такси Донецк Волгоград;Такси Донецк → Волгоград;Заказать такси Донецк – Волгоград. Фиксированная цена 18600₽. Комфортные авто.;https://city2city.ru/donetsk-volgograd;18600;10273;DIRECT_ONLY;ВЫСОКИЙ;50-80₽
City2City_DIRECT_ONLY;Донецк - Волгоград;такси Донецк Волгоград цена;Такси Донецк → Волгоград;Заказать такси Донецк – Волгоград. Фиксированная цена 18600₽. Комфортные авто.;https://city2city.ru/donetsk-volgograd;18600;10273;DIRECT_ONLY;ВЫСОКИЙ;50-80₽
City2City_DIRECT_ONLY;Донецк - Волгоград;заказать такси Донецк Волгоград;Такси Донецк → Волгоград;Заказать такси Донецк – Волгоград. Фиксированная цена 18600₽. Комфортные авто.;https://city2city.ru/donetsk-volgograd;18600;10273;DIRECT_ONLY;ВЫСОКИЙ;50-80₽
City2City_DIRECT_ONLY;Донецк - Оренбург;такси Донецк Оренбург;Такси Донецк → Оренбург;Заказать такси Донецк – Оренбург. Фиксированная цена 53000₽. Комфортные авто.;https://city2city.ru/donetsk-orenburg;53000;10273;DIRECT_ONLY;ВЫСОКИЙ;50-80₽
