page_url;city_from;city_to;distance_km;price;total_freq;freq_cloud;freq_old_total;freq_taksi;freq_transfer;freq_mezhgorod;demand_score;competition_score;position_score;weakness_score;total_found;federal_count;local_taxi_count;city2city_position;top10_domains;in_direct;direct_strategy;city_type_from;city_type_to;segment;has_serp;related_queries
https://city2city.ru/kazan-leninogorsk;Казань;Лениногорск;290;8700;42076;106;42076;35681;3250;1629;1.0;0.483;0.0;0.517;299184;1;5;;vezet.ru|kazan1.taximaxim.ru|taxi.yandex.ru|yandex.ru|m.avito.ru|2gis.ru|116.ru|kazan.taptaxi.su|taxiomega.ru|kazan.taxipoehali.ru;NO;;;;SEO_INVEST;YES;
https://city2city.ru/kazan-elabuga;Казань;Елабуга;210;6300;42076;189;42076;35681;3250;1629;1.0;0.6242;0.0;0.3758;299226;1;3;;taxi.yandex.ru|kazan1.taximaxim.ru|vezet.ru|m.avito.ru|yandex.ru|2gis.ru|116.ru|city-mobil.ru|kazan.taxipoehali.ru|zoon.ru;NO;;;;SEO_HARD;YES;
https://city2city.ru/ekaterinburg-sibaj;Екатеринбург;Сибай;590;17700;40889;160;40889;36663;1495;1356;0.9973;0.6246;0.0;0.3754;303565;1;3;;taxi.yandex.ru|yekaterinburg.taximaxim.ru|2gis.ru|yandex.ru|www.3101010.ru|vezet.ru|66.ru|www.avito.ru|taxiomega.ru|uslugi.yandex.ru;NO;;;;DIRECT_ONLY;YES;
https://city2city.ru/ekaterinburg-irbit;Екатеринбург;Ирбит;205;6200;40889;250;40889;36663;1495;1356;0.9973;0.6238;0.0;0.3762;293575;1;3;;taxi.yandex.ru|yekaterinburg.taximaxim.ru|2gis.ru|yandex.ru|www.3101010.ru|vezet.ru|66.ru|www.avito.ru|taxiomega.ru|uslugi.yandex.ru;NO;;;;SEO_HARD;YES;
https://city2city.ru/cheljabinsk-magnitogorsk;Челябинск;Магнитогорск;310;9300;28072;169;28072;24846;1549;836;0.962;0.5049;0.0;0.4951;278393;0;3;;taxi.yandex.ru|chelyabinsk.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|chelyabinsk.taxipoehali.ru|city-mobil.ru|chelyabinsk.flamp.ru|www.222-2-222.ru|driver174.ru;NO;;;;SEO_HARD;YES;
https://city2city.ru/cheljabinsk-uchaly;Челябинск;село Учалы;190;6300;28072;93;28072;24846;1549;836;0.962;0.5041;0.0;0.4959;269138;0;3;;taxi.yandex.ru|chelyabinsk.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|chelyabinsk.taxipoehali.ru|city-mobil.ru|chelyabinsk.flamp.ru|www.222-2-222.ru|driver174.ru;NO;;;;SEO_HARD;YES;
https://city2city.ru/cheljabinsk-sibaj;Челябинск;Сибай;380;11400;28072;334;28072;24846;1549;836;0.962;0.5041;0.0;0.4959;269149;0;3;;taxi.yandex.ru|chelyabinsk.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|chelyabinsk.taxipoehali.ru|city-mobil.ru|chelyabinsk.flamp.ru|www.222-2-222.ru|driver174.ru;NO;;;;DIRECT_ONLY;YES;
https://city2city.ru/cheljabinsk-beloreck;Челябинск;Белорецк;285;8600;28072;137;28072;24846;1549;836;0.962;0.6217;0.0;0.3783;269149;1;3;;taxi.yandex.ru|chelyabinsk.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|chelyabinsk.taxipoehali.ru|city-mobil.ru|chelyabinsk.flamp.ru|www.222-2-222.ru|www.avito.ru;NO;;;;SEO_HARD;YES;
https://city2city.ru/cheljabinsk-kurgan;Челябинск;Курган;270;8100;28072;67;28072;24846;1549;836;0.962;0.5041;0.0;0.4959;269300;0;3;;taxi.yandex.ru|chelyabinsk.taximaxim.ru|2gis.ru|yandex.ru|vezet.ru|chelyabinsk.taxipoehali.ru|city-mobil.ru|chelyabinsk.flamp.ru|driver174.ru|www.222-2-222.ru;NO;;;;SEO_HARD;YES;
https://city2city.ru/rostov-rostov-velikij;Ростов-на-Дону;Ростов;1300;39000;19134;19134;0;0;0;0;0.926;0.1848;0.0;0.8152;3053712;1;13;;taxi.yandex.ru|rostov-na-donu1.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|kubtaxi.ru|www.avito.ru|city-mobil.ru|uslugi.yandex.ru|zoon.ru|catalogtaksi.ru|taksi-gorod.ru|xn-----6kckdgfipty1aaca1adgndr.xn--p1ai|www.yell.ru|www.2306306.com|www.komandirovka.ru|vk.com|tourism.rostov-gorod.ru|perevozka24.com|go.yandex|taxiizrostova.ru|161.ru|redtaxi.ru|rutaxi.ru|rostov-na-donu.sky-transfer.ru|taxi.transferplustravel.com|taxieconom.ru|alex-transport.ru|taxi-leader.ru|555don.ru;YES;ГРУППИРОВКА_ПО_ГОРОДУ;A;C;SEO_INVEST_DIRECT;YES;
