fo,city_from,city_to,freq,slug,distance_fill,price_fill,query,distance,price
ДФО,Иркутск,Хабаровск,19,irkutsk-xabarovsk,3224,96500,такси Иркутск Хабаровск,NULL,NULL
ПФО,Ижевск,Альметьевск,13,izhevsk-almetevsk,273,8000,такси Ижевск Альметьевск,NULL,NULL
ПФО,Казань,Димитровград,21,kazan-dimitrovgrad,234,7000,такси Казань Димитровград,NULL,NULL
ПФО,Казань,Анапа,20,kazan-anapa,1934,58000,такси Казань Анапа,NULL,NULL
ПФО,Казань,Курск,12,kazan-kursk,1269,38000,такси Казань Курск,NULL,NULL
ПФО,Казань,Рыбное,12,kazan-rybnoe,801,24000,такси Казань Рыбное,NULL,NULL
ПФО,Казань,Богучар,10,kazan-boguchar,,,такси Казань Богучар,NULL,NULL
ПФО,Киров,Моршанск,25,kirov-morshansk,,,такси Киров Моршанск,NULL,NULL
ПФО,Киров,Йошкар-Ола,24,kirov-joshkar-ola,,,такси Киров Йошкар-Ола,NULL,NULL
ПФО,Киров,Подольск,20,kirov-podolsk,,,такси Киров Подольск,NULL,NULL
ПФО,Киров,Симферополь,12,kirov-simferopol,,,такси Киров Симферополь,NULL,NULL
ПФО,Киров,Смоленск,12,kirov-smolensk,,,такси Киров Смоленск,NULL,NULL
ПФО,Киров,Орёл,11,kirov-oryol,,,такси Киров Орёл,NULL,NULL
ПФО,Киров,Пятигорск,11,kirov-pyatigorsk,,,такси Киров Пятигорск,NULL,NULL
ПФО,Киров,Екатеринбург,10,kirov-ekaterinburg,,,такси Киров Екатеринбург,NULL,NULL
ПФО,Нижний Новгород,Уфа,24,nizhnij-novgorod-ufa,931,28000,такси Нижний Новгород Уфа,NULL,NULL
ПФО,Нижний Новгород,Ульяновск,24,nizhnij-novgorod-ulyanovsk,432,13000,такси Нижний Новгород Ульяновск,NULL,NULL
ПФО,Нижний Новгород,Домодедово,22,nizhnij-novgorod-domodedovo,466,14000,такси Нижний Новгород Домодедово,NULL,NULL
ПФО,Нижний Новгород,Ковров,18,nizhnij-novgorod-kovrov,193,6000,такси Нижний Новгород Ковров,NULL,NULL
ПФО,Нижний Новгород,Богучар,10,nizhnij-novgorod-boguchar,,,такси Нижний Новгород Богучар,NULL,NULL
ПФО,Нижний Новгород,Пенза,10,nizhnij-novgorod-penza,424,12500,такси Нижний Новгород Пенза,NULL,NULL
ПФО,Пенза,Лермонтов,12,penza-lermontov,1208,36000,такси Пенза Лермонтов,NULL,NULL
ПФО,Пермь,Самара,82,perm-samara,852,25500,такси Пермь Самара,NULL,NULL
ПФО,Пермь,Чернушка,62,perm-chernushka,229,7000,такси Пермь Чернушка,NULL,NULL
ПФО,Пермь,Ростов-на-Дону,31,perm-rostov-na-donu,2118,63500,такси Пермь Ростов-на-Дону,NULL,NULL
ПФО,Пермь,Челябинск,11,perm-chelyabinsk,566,17000,такси Пермь Челябинск,NULL,NULL
ПФО,Самара,Жигулёвск,43,samara-zhigulevsk,93,3000,такси Самара Жигулёвск,NULL,NULL
ПФО,Самара,Тюмень,17,samara-tyumen,1223,36500,такси Самара Тюмень,NULL,NULL
ПФО,Самара,Новороссийск,14,samara-novorossijsk,1678,50500,такси Самара Новороссийск,NULL,NULL
ПФО,Самара,Смышляевка,13,samara-smyshlyaevka,24,3000,такси Самара Смышляевка,NULL,NULL
ПФО,Самара,Ярославль,11,samara-yaroslavl,1067,32000,такси Самара Ярославль,NULL,NULL
ПФО,Саратов,Энгельс,150,saratov-engelsk,10,3000,такси Саратов Энгельс,NULL,NULL
ПФО,Саратов,Волжский,13,saratov-volzhskij,370,11000,такси Саратов Волжский,NULL,NULL
ПФО,Ульяновск,Гай,11,ulyanovsk-gaj,923,27500,такси Ульяновск Гай,NULL,NULL
ПФО,Ульяновск,Севастополь,11,ulyanovsk-sevastopol,1182,35500,такси Ульяновск Севастополь,NULL,NULL
ПФО,Уфа,Воткинск,10,ufa-votkinsk,358,10500,такси Уфа Воткинск,NULL,NULL
ПФО,Чебоксары,Уфа,28,cheboksary-ufa,697,21000,такси Чебоксары Уфа,NULL,NULL
СВО,Донецк,Симферополь,25,donetsk-simferopol,,,такси Донецк Симферополь,NULL,NULL
СВО,Луганск,Ростов-на-Дону,67,lugansk-rostov-na-don,250,7500,такси Луганск Ростов-на-Дону,195,6000
СВО,Луганск,Белгород,26,lugansk-belgorod,350,10500,такси Луганск Белгород,660,20000
СВО,Луганск,Симферополь,17,lugansk-simferopol,,,такси Луганск Симферополь,710,21500
СВО,Луганск,Курск,16,lugansk-kursk,400,12000,такси Луганск Курск,760,23000
СВО,Луганск,Тула,14,lugansk-tula,700,21000,такси Луганск Тула,NULL,NULL
СВО,Луганск,Казань,11,lugansk-kazan,1300,39000,такси Луганск Казань,NULL,NULL
