city_from,city_to,freq,slug,fo,distance_fill,price_fill
Москва,Рыбинск,74,moskva-rybinsk,ЦФО,,
Краснодар,Алушта,63,krasnodar-alushta,ЮФО,,
Екатеринбург,Ревда,53,ekaterinburg-revda,УФО,,
Екатеринбург,Заречный,51,ekaterinburg-zarechnyj,УФО,,
Иваново,Тейково,42,ivanovo-tejkovo,ЦФО,,
Москва,Муром,40,moskva-murom,ЦФО,,
Краснодар,Курганинск,38,krasnodar-kurganinsk,ЮФО,,
Воронеж,Новохопёрск,31,voronezh-novoxopyorsk,ЦФО,,
Ярославль,Нерехта,31,yaroslavl-nerexta,ЦФО,,
Краснодар,Елизаветинская,31,krasnodar-elizavetinskaya,ЮФО,,
Волгоград,Калач,30,volgograd-kalach,ЮФО,,
Москва,Конаково,29,moskva-konakovo,ЦФО,,
Краснодар,Калининская,29,krasnodar-kalininskaya,ЮФО,,
Воронеж,Елец,28,voronezh-elecz,ЦФО,,
Москва,Кисловодск,28,moskva-kislovodsk,ЦФО,,
Краснодар,Кропоткин,28,krasnodar-kropotkin,ЮФО,,
Москва,Адлер,27,moskva-adler,ЦФО,,
Москва,Евпатория,27,moskva-evpatoriya,ЦФО,,
Тверь,Торопец,27,tver-toropecz,ЦФО,,
Москва,Набережные Челны,26,moskva-naberezhnye-chelny,ЦФО,,
Киров,Моршанск,25,kirov-morshansk,ПФО,,
Донецк,Симферополь,25,donetsk-simferopol,СВО,,
Владимир,Петушки,25,vladimir-petushki,ЦФО,,
Воронеж,Отрадная,25,voronezh-otradnaya,ЦФО,,
Воронеж,Отрадный,25,voronezh-otradnyj,ЦФО,,
Москва,Архангельск,25,moskva-arxangelsk,ЦФО,,
Москва,Вязьма,25,moskva-vyazma,ЦФО,,
Тверь,Вышний Волочёк,25,tver-vyshnij-volochyok,ЦФО,,
Краснодар,Афипский,25,krasnodar-afipskij,ЮФО,,
Краснодар,Приморско-Ахтарск,25,krasnodar-primorsko-axtarsk,ЮФО,,
Краснодар,Саки,25,krasnodar-saki,ЮФО,,
Киров,Йошкар-Ола,24,kirov-joshkar-ola,ПФО,,
Калуга,Домодедово,24,kaluga-domodedovo,ЦФО,,
Москва,Арзамас,24,moskva-arzamas,ЦФО,,
Москва,Жуков,24,moskva-zhukov,ЦФО,,
Москва,Ефремов,23,moskva-efremov,ЦФО,,
Москва,Льгов,23,moskva-lgov,ЦФО,,
Москва,Малоярославец,23,moskva-maloyaroslavecz,ЦФО,,
Москва,Сим,23,moskva-sim,ЦФО,,
Москва,Торжок,23,moskva-torzhok,ЦФО,,
Тула,Ясный,23,tula-yasnyj,ЦФО,,
Краснодар,Судак,23,krasnodar-sudak,ЮФО,,
Краснодар,Воронеж,23,krasnodar-voronezh,ЮФО,,
Воронеж,Сасово,22,voronezh-sasovo,ЦФО,,
Москва,Калязин,22,moskva-kalyazin,ЦФО,,
Орёл,Курск,22,oryol-kursk,ЦФО,,
Краснодар,Сукко,22,krasnodar-sukko,ЮФО,,
Москва,Йошкар-Ола,21,moskva-joshkar-ola,ЦФО,,
Москва,Кинешма,21,moskva-kineshma,ЦФО,,
Киров,Подольск,20,kirov-podolsk,ПФО,,
Москва,Чаплыгин,20,moskva-chaplygin,ЦФО,,
Москва,Тёплое,20,moskva-tyoploe,ЦФО,,
Смоленск,Бор,20,smolensk-bor,ЦФО,,
Смоленск,Любим,20,smolensk-lyubim,ЦФО,,
Краснодар,Хадыженск,20,krasnodar-xadyzhensk,ЮФО,,
Москва,Старый Оскол,19,moskva-staryj-oskol,ЦФО,,
Краснодар,Гурзуф,19,krasnodar-gurzuf,ЮФО,,
Краснодар,Полтавская,19,krasnodar-poltavskaya,ЮФО,,
Владимир,Лакинск,18,vladimir-lakinsk,ЦФО,,
Воронеж,Пермь,18,voronezh-perm,ЦФО,,
Москва,Людиново,18,moskva-lyudinovo,ЦФО,,
Москва,Щёкино,18,moskva-shhyokino,ЦФО,,
Аэропорт,Архипо-Осиповка,18,krasnodar-arhipo-osipovka,ЮФО,,
Ростов-на-Дону,Симферополь,18,rostov-simferopol,ЮФО,,
Луганск,Симферополь,17,lugansk-simferopol,СВО,,
Белгород,Разумное,17,belgorod-razumnoe,ЦФО,,
Владимир,Домодедово,17,vladimir-domodedovo,ЦФО,,
Краснодар,Брюховецкая,17,krasnodar-bryuxoveczkaya,ЮФО,,
