slug;price_economy;price_comfort;distance_km;status
%d1%82%d0%b0%d0%ba%d1%81%d0%b8-%d1%80%d0%be%d1%81%d1%82%d0%be%d0%b2-%d0%b4%d0%b6%d1%83%d0%b1%d0%b3%d0%b0;;;;no_price
%d1%82%d0%b0%d0%ba%d1%81%d0%b8-%d1%80%d0%be%d1%81%d1%82%d0%be%d0%b2-%d0%ba%d0%b0%d0%b1%d0%b0%d1%80%d0%b4%d0%b8%d0%bd%d0%ba%d0%b0;;;;no_price
aeroport-balandino-chebarkul;;;;no_price
aeroport-balandino-kopejsk;;;;no_price
aeroport-balandino-mezhozyornyj;;;;no_price
aeroport-balandino-miass;;;;no_price
aeroport-gagarin-atkarsk;;;;no_price
aeroport-gagarin-gornyj;;;;no_price
aeroport-gagarin-kalininsk;;;;no_price
aeroport-gagarin-marks;;;;no_price
aeroport-gagarin-orenburg;;;;no_price
aeroport-gagarin-privolzhskij;;;;no_price
aeroport-gagarin-rtishhevo;;;;no_price
aeroport-gagarin-sennoj;;;;no_price
aeroport-gagarin-stepnoe;;;;no_price
aeroport-kolczovo-alapaevsk;;;;no_price
aeroport-kolczovo-aramil;;;;no_price
aeroport-kolczovo-asbest;;;;no_price
aeroport-kolczovo-beryozovskij;;;;no_price
aeroport-kolczovo-bogdanovich;;;;no_price
aeroport-kolczovo-degtyarsk;;;;no_price
aeroport-kolczovo-ekaterinburg;;;;no_price
aeroport-kolczovo-irbit;;;;no_price
aeroport-kolczovo-kopejsk;;;;no_price
aeroport-kolczovo-kushva;;;;no_price
aeroport-kolczovo-malysheva;;;;no_price
aeroport-kolczovo-nevyansk;;;;no_price
aeroport-kolczovo-novouralsk;;;;no_price
aeroport-kolczovo-oktyabrskoe;;;;no_price
aeroport-kolczovo-pyshma;;;;no_price
aeroport-kolczovo-reftinskij;;;;no_price
aeroport-kolczovo-revda;;;;no_price
aeroport-kolczovo-shadrinsk;;;;no_price
aeroport-kolczovo-snezhinsk;;;;no_price
aeroport-kolczovo-suxoj-log;;;;no_price
aeroport-kolczovo-sysert;;;;no_price
aeroport-kolczovo-tyumen;;;;no_price
aeroport-kolczovo-uralskij;;;;no_price
aeroport-kolczovo-verxnee-dubrovo;;;;no_price
aeroport-kolczovo-verxnyaya-pyshma;;;;no_price
aeroport-kolczovo-vishnevogorsk;;;;no_price
aeroport-kolczovo-yuzhnyj;;;;no_price
aeroport-kolczovo-zarechnyj;;;;no_price
aeroport-kolczovo-zlatoust;;;;no_price
aeroport-krasnodar-pashkovskij-majkop;;;;no_price
aeroport-krasnodar-pashkovskij-novorossijsk;;;;no_price
aeroport-kurumoch-almetevsk;;;;no_price
aeroport-kurumoch-chapaevsk;;;;no_price
aeroport-kurumoch-czentralnyj;;;;no_price
aeroport-kurumoch-dimitrovgrad;;;;no_price
aeroport-kurumoch-elabuga;;;;no_price
aeroport-kurumoch-kirov;;;;no_price
aeroport-kurumoch-komsomolskij;;;;no_price
aeroport-kurumoch-neftegorsk;;;;no_price
aeroport-kurumoch-nikolaevka;;;;no_price
aeroport-kurumoch-novokujbyshevsk;;;;no_price
aeroport-kurumoch-nurlat;;;;no_price
aeroport-kurumoch-otradnyj;;;;no_price
aeroport-kurumoch-poxvistnevo;;;;no_price
aeroport-kurumoch-pugachyov;;;;no_price
aeroport-kurumoch-roshhinskij;;;;no_price
aeroport-kurumoch-sorochinsk;;;;no_price
aeroport-kurumoch-suxodol;;;;no_price
aeroport-kurumoch-tolyatti;;;;no_price
aeroport-kurumoch-ufa;;;;no_price
aeroport-kurumoch-umyot;;;;no_price
aeroport-kurumoch-ust-kinelskij;;;;no_price
aeroport-kurumoch-zhigulyovsk;;;;no_price
aeroport-pashkovskij-abinsk;;;;no_price
aeroport-pashkovskij-blagodarnyj;;;;no_price
aeroport-pashkovskij-bryuxoveczkaya;;;;no_price
aeroport-pashkovskij-kanevskaya;;;;no_price
aeroport-pashkovskij-kerch;;;;no_price
aeroport-pashkovskij-kropotkin;;;;no_price
aeroport-pashkovskij-labinsk;;;;no_price
aeroport-pashkovskij-majkop;;;;no_price
aeroport-pashkovskij-mostovskoj;;;;no_price
aeroport-pashkovskij-novorossijsk;;;;no_price
aeroport-pashkovskij-severskaya;;;;no_price
aeroport-pashkovskij-ust-labinsk;;;;no_price
aeroport-platov-kamensk-shaxtinskij;;;;no_price
aeroport-platov-kamensk-shaxtinskij-2;;;;no_price
aeroport-pulkovo-borovichi;;;;no_price
