url	gorod1	gorod2	rasstoyanie
https://city2city.ru/aeroport-kolczovo-ekaterinburg.html	аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова	Екатеринбург	30
https://city2city.ru/aeroport-kolczovo-uralskij.html	аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова	посёлок городского типа Уральский	40
https://city2city.ru/aeroport-kurumoch-tolyatti.html	аэропорт Самара (Курумоч) имени С.П. Королева	Тольятти	60
https://city2city.ru/aeroport-pulkovo-oktyabrskij.html	аэропорт Пулково	поселок городского типа Октябрьский	1850
https://city2city.ru/arxangelsk-onega.html	Архангельск	Онега	220
https://city2city.ru/barnaul-novosibirsk.html	Барнаул	Новосибирск	240
https://city2city.ru/belgorod-anapa.html	Белгород	Анапа	1150
https://city2city.ru/belgorod-staryj_oskol.html	Белгород	Старый Оскол	150
https://city2city.ru/bryansk-moskva.html	Брянск	Москва	400
https://city2city.ru/bryansk-otradnyj.html	Брянск	Отрадный	1550
https://city2city.ru/cheboksary-joshkar-ola.html	Чебоксары	Йошкар-Ола	100
https://city2city.ru/cheboksary-kazan.html	Чебоксары	Казань	160
https://city2city.ru/cheboksary-moskva.html	Чебоксары	Москва	740
https://city2city.ru/cheboksary-samara.html	Чебоксары	Самара	510
https://city2city.ru/chelyabinsk-oktyabrskij.html	Челябинск	поселок Октябрьский	600
https://city2city.ru/donetsk-astrahan.html	Донецк	Астрахань	1000
https://city2city.ru/donetsk-nizhniy-novgorod.html	Донецк	Нижний Новгород	1450
https://city2city.ru/donetsk-rostov-na-don.html	Донецк	Ростов-на-Дону	220
https://city2city.ru/donetsk-samara.html	Донецк	Самара	1450
https://city2city.ru/donetsk-tver.html	Донецк	Тверь	1450
https://city2city.ru/donetsk-voronezh.html	Донецк	Воронеж	740
https://city2city.ru/ekaterinburg-severnyj.html	Екатеринбург	посёлок городского типа Северный	120
https://city2city.ru/ekaterinburg-yuzhnyj.html	Екатеринбург	рабочий поселок Южный	380
https://city2city.ru/ivanovo-domodedovo.html	Иваново	Домодедово	350
https://city2city.ru/ivanovo-moskva.html	Иваново	Москва	340
https://city2city.ru/ivanovo-shuya.html	Иваново	Шуя	40
https://city2city.ru/izhevsk-chajkovskij.html	Ижевск	Чайковский	100
https://city2city.ru/izhevsk-molochnyj.html	Ижевск	поселок городского типа Молочный	2600
https://city2city.ru/joshkar-ola-cheboksary.html	Йошкар-Ола	Чебоксары	100
https://city2city.ru/kaluga-kirov.html	Калуга	Киров	1200
https://city2city.ru/kaluga-moskva.html	Калуга	Москва	210
https://city2city.ru/kaluga-tulskij.html	Калуга	посёлок Тульский	820
https://city2city.ru/kazan-belyj.html	Казань	Белый	1250
https://city2city.ru/kazan-czentralnyj.html	Казань	Центральный	550
https://city2city.ru/kazan-ivanovo.html	Казань	Иваново	770
https://city2city.ru/kazan-kirovskij.html	Казань	поселок городского типа Кировский	1270
https://city2city.ru/kazan-krasnyj.html	Казань	поселок городского типа Красный	1300
https://city2city.ru/kazan-oktyabrskij.html	Казань	поселок Октябрьский	400
https://city2city.ru/kazan-oktyabrskoe.html	Казань	посёлок городского типа Октябрьское	2400
https://city2city.ru/kazan-xolm.html	Казань	деревня Холм	980
https://city2city.ru/kirov-kirov-kaluzhskaya-oblast.html	Киров	Киров	1300
https://city2city.ru/kirov-kirovo-chepeczk.html	Киров	Кирово-Чепецк	60
https://city2city.ru/kirov-kirovskij.html	Киров	поселок городского типа Кировский	870
https://city2city.ru/kirov-volgograd.html	Киров	Волгоград	1500
https://city2city.ru/kirov-yalta.html	Киров	Ялта	2550
https://city2city.ru/kirov-zvyozdnyj.html	Киров	посёлок городского типа Звёздный	530
https://city2city.ru/krasnodar-adler.html	Краснодар	Адлер	350
https://city2city.ru/krasnodar-armavir.html	Краснодар	Армавир	330
https://city2city.ru/krasnodar-belyj.html	Краснодар	Белый	1800
https://city2city.ru/krasnodar-cherkessk.html	Краснодар	Черкесск	350
https://city2city.ru/krasnodar-dolzhanskaya.html	Краснодар	станица Должанская	300
https://city2city.ru/krasnodar-dzhankoj.html	Краснодар	Джанкой	450
https://city2city.ru/krasnodar-eisk.html	Краснодар	Ейск	260
https://city2city.ru/krasnodar-essentuki.html	Краснодар	Ессентуки	440
https://city2city.ru/krasnodar-evpatoriya.html	Краснодар	Евпатория	510
https://city2city.ru/krasnodar-feodosiya.html	Краснодар	Феодосия	330
https://city2city.ru/krasnodar-gelendgik.html	Аэропорт	Геленджик	200
https://city2city.ru/krasnodar-goryachij-klyuch.html	Краснодар	Горячий Ключ	60
https://city2city.ru/krasnodar-gulkevichi.html	Краснодар	Гулькевичи	170
https://city2city.ru/krasnodar-kanevskaya.html	Краснодар	станица Каневская	140
