url;gorod1;gorod2;rasstoyanie;price;time;seo_title
https://city2city.ru/aeroport-kolczovo-ekaterinburg.html;аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Екатеринбург;30;1000;22 мин;Такси аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова — Екатеринбург от 1 000₽ | Заказать трансфер онлайн
https://city2city.ru/aeroport-kurumoch-tolyatti.html;аэропорт Самара (Курумоч) имени С.П. Королева;Тольятти;60;2000;45 мин;Такси аэропорт Самара (Курумоч) имени С.П. Королева — Тольятти от 2 000₽ | Заказать трансфер онлайн
https://city2city.ru/arxangelsk-onega.html;Архангельск;Онега;220;7000;2 ч 45 мин;Такси Архангельск — Онега от 7 000₽ | Заказать трансфер онлайн
https://city2city.ru/barnaul-novosibirsk.html;Барнаул;Новосибирск;240;7500;3 ч;Такси Барнаул — Новосибирск от 7 500₽ | Заказать трансфер онлайн
https://city2city.ru/belgorod-anapa.html;Белгород;Анапа;1150;34500;14 ч 22 мин;Такси Белгород — Анапа от 34 500₽ | Заказать трансфер онлайн
https://city2city.ru/belgorod-staryj_oskol.html;Белгород;Старый Оскол;150;4500;1 ч 52 мин;Такси Белгород — Старый Оскол от 4 500₽ | Заказать трансфер онлайн
https://city2city.ru/bryansk-moskva.html;Брянск;Москва;400;12000;5 ч;Такси Брянск — Москва от 12 000₽ | Заказать трансфер онлайн
https://city2city.ru/bryansk-otradnyj.html;Брянск;Отрадный;1550;46500;19 ч 22 мин;Такси Брянск — Отрадный от 46 500₽ | Заказать трансфер онлайн
https://city2city.ru/cheboksary-joshkar-ola.html;Чебоксары;Йошкар-Ола;100;3000;1 ч 15 мин;Такси Чебоксары — Йошкар-Ола от 3 000₽ | Заказать трансфер онлайн
https://city2city.ru/cheboksary-kazan.html;Чебоксары;Казань;160;5000;2 ч;Такси Чебоксары — Казань от 5 000₽ | Заказать трансфер онлайн
https://city2city.ru/cheboksary-moskva.html;Чебоксары;Москва;740;22500;9 ч 15 мин;Такси Чебоксары — Москва от 22 500₽ | Заказать трансфер онлайн
https://city2city.ru/cheboksary-samara.html;Чебоксары;Самара;510;15500;6 ч 22 мин;Такси Чебоксары — Самара от 15 500₽ | Заказать трансфер онлайн
https://city2city.ru/donetsk-astrahan.html;Донецк;Астрахань;1000;30000;12 ч 30 мин;Такси Донецк — Астрахань от 30 000₽ | Заказать трансфер онлайн
https://city2city.ru/donetsk-nizhniy-novgorod.html;Донецк;Нижний Новгород;1450;43500;18 ч 7 мин;Такси Донецк — Нижний Новгород от 43 500₽ | Заказать трансфер онлайн
https://city2city.ru/donetsk-rostov-na-don.html;Донецк;Ростов-на-Дону;220;7000;2 ч 45 мин;Такси Донецк — Ростов-на-Дону от 7 000₽ | Заказать трансфер онлайн
https://city2city.ru/donetsk-samara.html;Донецк;Самара;1450;43500;18 ч 7 мин;Такси Донецк — Самара от 43 500₽ | Заказать трансфер онлайн
https://city2city.ru/donetsk-tver.html;Донецк;Тверь;1450;43500;18 ч 7 мин;Такси Донецк — Тверь от 43 500₽ | Заказать трансфер онлайн
https://city2city.ru/donetsk-voronezh.html;Донецк;Воронеж;740;22500;9 ч 15 мин;Такси Донецк — Воронеж от 22 500₽ | Заказать трансфер онлайн
https://city2city.ru/ivanovo-domodedovo.html;Иваново;Домодедово;350;10500;4 ч 22 мин;Такси Иваново — Домодедово от 10 500₽ | Заказать трансфер онлайн
https://city2city.ru/ivanovo-moskva.html;Иваново;Москва;340;10500;4 ч 15 мин;Такси Иваново — Москва от 10 500₽ | Заказать трансфер онлайн
https://city2city.ru/ivanovo-shuya.html;Иваново;Шуя;40;1500;30 мин;Такси Иваново — Шуя от 1 500₽ | Заказать трансфер онлайн
https://city2city.ru/izhevsk-chajkovskij.html;Ижевск;Чайковский;100;3000;1 ч 15 мин;Такси Ижевск — Чайковский от 3 000₽ | Заказать трансфер онлайн
https://city2city.ru/joshkar-ola-cheboksary.html;Йошкар-Ола;Чебоксары;100;3000;1 ч 15 мин;Такси Йошкар-Ола — Чебоксары от 3 000₽ | Заказать трансфер онлайн
https://city2city.ru/kaluga-kirov.html;Калуга;Киров;1200;36000;15 ч;Такси Калуга — Киров от 36 000₽ | Заказать трансфер онлайн
https://city2city.ru/kaluga-moskva.html;Калуга;Москва;210;6500;2 ч 37 мин;Такси Калуга — Москва от 6 500₽ | Заказать трансфер онлайн
https://city2city.ru/kazan-ivanovo.html;Казань;Иваново;770;23500;9 ч 37 мин;Такси Казань — Иваново от 23 500₽ | Заказать трансфер онлайн
https://city2city.ru/kazan-xolm.html;Казань;деревня Холм;980;29500;12 ч 15 мин;Такси Казань — деревня Холм от 29 500₽ | Заказать трансфер онлайн
https://city2city.ru/kirov-kirov-kaluzhskaya-oblast.html;Киров;Киров;1300;39000;16 ч 15 мин;Такси Киров — Киров от 39 000₽ | Заказать трансфер онлайн
https://city2city.ru/kirov-kirovo-chepeczk.html;Киров;Кирово-Чепецк;60;2000;45 мин;Такси Киров — Кирово-Чепецк от 2 000₽ | Заказать трансфер онлайн
https://city2city.ru/kirov-volgograd.html;Киров;Волгоград;1500;45000;18 ч 45 мин;Такси Киров — Волгоград от 45 000₽ | Заказать трансфер онлайн
