url;gorod1;gorod2;rasstoyanie
https://city2city.ru/aeroport-gagarin-marks.html;аэропорт Гагарин;Маркс;
https://city2city.ru/aeroport-gagarin-orenburg.html;аэропорт Гагарин;Оренбург;
https://city2city.ru/aeroport-kolczovo-oktyabrskoe.html;аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;посёлок городского типа Октябрьское;
https://city2city.ru/aeroport-kolczovo-pyshma.html;аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;посёлок городского типа Пышма;
https://city2city.ru/aeroport-kolczovo-shadrinsk.html;аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Шадринск;
https://city2city.ru/aeroport-kolczovo-verxnyaya-pyshma.html;аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Верхняя Пышма;
https://city2city.ru/aeroport-kolczovo-vishnevogorsk.html;аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;посёлок городского типа Вишневогорск;
https://city2city.ru/aeroport-krasnodar-pashkovskij-majkop.html;аэропорт Краснодар (Пашковский) имени Екатерины II;Майкоп;
https://city2city.ru/aeroport-krasnodar-pashkovskij-novorossijsk.html;аэропорт Краснодар (Пашковский) имени Екатерины II;Новороссийск;
https://city2city.ru/aeroport-kurumoch-czentralnyj.html;аэропорт Самара (Курумоч) имени С.П. Королева;Центральный;
https://city2city.ru/aeroport-pashkovskij-blagodarnyj.html;аэропорт Краснодар (Пашковский) имени Екатерины II;Благодарный;
https://city2city.ru/aeroport-pashkovskij-bryuxoveczkaya.html;аэропорт Краснодар (Пашковский) имени Екатерины II;станица Брюховецкая;
https://city2city.ru/aeroport-pashkovskij-kanevskaya.html;аэропорт Краснодар (Пашковский) имени Екатерины II;станица Каневская;
https://city2city.ru/aeroport-pashkovskij-kerch.html;аэропорт Краснодар (Пашковский) имени Екатерины II;Керчь;
https://city2city.ru/aeroport-pashkovskij-majkop.html;аэропорт Краснодар (Пашковский) имени Екатерины II;Майкоп;
https://city2city.ru/aeroport-pashkovskij-novorossijsk.html;аэропорт Краснодар (Пашковский) имени Екатерины II;Новороссийск;
https://city2city.ru/aeroport-pulkovo-pikalyovo.html;аэропорт Пулково;Пикалёво;
https://city2city.ru/aeroport-pulkovo-staraya-russa.html;аэропорт Пулково;Старая Русса;
