city_from,city_to,page_url,distance_km,duration_hours,price
аэропорт Томск (Богашёво) имени Н.И. Камова,Северск,https://city2city.ru/aeroport-bogashyovo-seversk,40,1.0,3000
аэропорт Томск (Богашёво) имени Н.И. Камова,Юрга,https://city2city.ru/aeroport-bogashyovo-yurga,125,2.0,4500
аэропорт Гагарин,Балаково,https://city2city.ru/aeroport-gagarin-balakovo,155,2.0,5100
аэропорт Гагарин,Вольск,https://city2city.ru/aeroport-gagarin-volsk,121,1.5,4400
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова,Челябинск,https://city2city.ru/aeroport-kolczovo-chelyabinsk,200,3.0,6000
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова,Каменск-Уральский,https://city2city.ru/aeroport-kolczovo-kamensk-uralskij,100,1.5,3600
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова,Курган,https://city2city.ru/aeroport-kolczovo-kurgan,360,5.0,10800
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова,Миасс,https://city2city.ru/aeroport-kolczovo-miass,230,3.5,6900
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова,Нижний Тагил,https://city2city.ru/aeroport-kolczovo-nizhnij-tagil,141,2.0,5100
аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова,Первоуральск,https://city2city.ru/aeroport-kolczovo-pervouralsk,60,1.0,3000
аэропорт Краснодар (Пашковский) имени Екатерины II,Донецк,https://city2city.ru/aeroport-krasnodar-pashkovskij-doneczk-rostovskaya-oblast,437,6.0,13100
аэропорт Самара (Курумоч) имени С.П. Королева,Бугуруслан,https://city2city.ru/aeroport-kurumoch-buguruslan,185,2.5,6100
аэропорт Самара (Курумоч) имени С.П. Королева,Бузулук,https://city2city.ru/aeroport-kurumoch-buzuluk,200,3.0,6000
аэропорт Самара (Курумоч) имени С.П. Королева,52А-3,https://city2city.ru/aeroport-kurumoch-granicza-kazaxstan,300,4.5,9000
аэропорт Самара (Курумоч) имени С.П. Королева,Оренбург,https://city2city.ru/aeroport-kurumoch-orenburg,440,6.5,13200
аэропорт Самара (Курумоч) имени С.П. Королева,Первомайск,https://city2city.ru/aeroport-kurumoch-pervomajsk,632,9.0,19000
аэропорт Самара (Курумоч) имени С.П. Королева,Сызрань,https://city2city.ru/aeroport-kurumoch-syzran,152,2.0,5000
Аэропорт Платов,село Бугаёвка,https://city2city.ru/aeroport-platov-app-bugaevka,363,5.0,10900
аэропорт Пулково,Ивангород,https://city2city.ru/aeroport-pulkovo-ivangorod,165,2.5,5400
аэропорт Пулково,Мурманск,https://city2city.ru/aeroport-pulkovo-murmansk,1370,19.5,41100
аэропорт Пулково,Псков,https://city2city.ru/aeroport-pulkovo-pskov,300,4.5,9000
аэропорт Пулково,Тихвин,https://city2city.ru/aeroport-pulkovo-tixvin,225,3.0,6800
аэропорт Пулково,Великий Новгород,https://city2city.ru/aeroport-pulkovo-velikij-novgorod,190,2.5,6300
Новосибирск (Толмачёво) терминал Б,Новоалтайск,https://city2city.ru/aeroport-tolmachevo-novosibirsk-novoaltaysk,222,3.0,8000
Алдан,Якутск,https://city2city.ru/aldan-jakutsk,525,7.5,15800
Архангельск,Вологда,https://city2city.ru/arxangelsk-vologda,765,11.0,23000
Астрахань,Адлер,https://city2city.ru/astraxan-adler,1110,16.0,33300
Астрахань,село Котяевка,https://city2city.ru/astraxan-app-karauzek,60,1.0,3000
Астрахань,Ахтубинск,https://city2city.ru/astraxan-axtubinsk,310,4.5,9300
Астрахань,Белгород,https://city2city.ru/astraxan-belgorod,1260,18.0,38000
Астрахань,Будённовск,https://city2city.ru/astraxan-budyonnovsk,500,7.0,15000
Астрахань,Ейск,https://city2city.ru/astraxan-ejsk,895,13.0,26800
Астрахань,Элиста,https://city2city.ru/astraxan-elista,310,4.5,9300
Астрахань,Феодосия,https://city2city.ru/astraxan-feodosiya,1165,16.5,35000
Астрахань,Геленджик,https://city2city.ru/astraxan-gelendzhik,980,14.0,29400
Астрахань,Лагань,https://city2city.ru/astraxan-gorod-lagan,175,2.5,5800
Астрахань,52А-3,https://city2city.ru/astraxan-granicza-kazaxstan,70,1.0,3200
Астрахань,село Ильинка,https://city2city.ru/astraxan-ilinka,20,0.5,2000
Астрахань,Каменск-Шахтинский,https://city2city.ru/astraxan-kamensk-shaxtinskij,775,11.0,23200
Астрахань,Камызяк,https://city2city.ru/astraxan-kamyzyak,35,1.0,3000
Астрахань,Казань,https://city2city.ru/astraxan-kazan,1460,21.0,43800
Астрахань,Керчь,https://city2city.ru/astraxan-kerch,1070,15.5,32000
Астрахань,Кисловодск,https://city2city.ru/astraxan-kislovodsk,675,9.5,20200
Астрахань,посёлок городского типа Козлово,https://city2city.ru/astraxan-kozlovo,55,1.0,2000
Астрахань,поселок городского типа Красные Баррикады,https://city2city.ru/astraxan-krasnye-barrikady,30,0.5,2000
Астрахань,Лагань,https://city2city.ru/astraxan-lagan,175,2.5,5800
Астрахань,рабочий посёлок Лиман,https://city2city.ru/astraxan-liman,105,1.5,3800
Астрахань,Липецк,https://city2city.ru/astraxan-lipeczk,1110,16.0,33500
Астрахань,Минеральные Воды,https://city2city.ru/astraxan-mineralnye-vody,620,9.0,18600
Астрахань,Москва,https://city2city.ru/astraxan-moskva,1395,20.0,41800
Астрахань,Нариманов,https://city2city.ru/astraxan-narimanov,45,0.5,2000
Астрахань,Нефтекумск,https://city2city.ru/astraxan-neftekumsk,420,6.0,12500
Астрахань,Нижний Новгород,https://city2city.ru/astraxan-nizhnij-novgorod,1410,20.0,42500
Астрахань,Новороссийск,https://city2city.ru/astraxan-novorossijsk,970,14.0,29000
Астрахань,Оренбург,https://city2city.ru/astraxan-orenburg,1620,23.0,48500
Астрахань,Пенза,https://city2city.ru/astraxan-penza,1010,14.5,30500
Астрахань,посёлок городского типа Цаган Аман,https://city2city.ru/astraxan-posyolok-czagan-aman,180,2.5,5900
Астрахань,посёлок Комсомольский,https://city2city.ru/astraxan-posyolok-komsomolskij,235,3.5,7000
Астрахань,поселок Яшкуль,https://city2city.ru/astraxan-posyolok-yashkul,225,3.0,6800
Астрахань,Пятигорск,https://city2city.ru/astraxan-pyatigorsk,640,9.0,19200
Астрахань,Ростов-на-Дону,https://city2city.ru/astraxan-rostov-na-donu,770,11.0,23100
Астрахань,Рязань,https://city2city.ru/astraxan-ryazan,1220,17.5,36500
Астрахань,Санкт-Петербург,https://city2city.ru/astraxan-sankt-peterburg,2105,30.0,63200
Астрахань,Саратов,https://city2city.ru/astraxan-saratov,800,11.5,24000
Астрахань,Севастополь,https://city2city.ru/astraxan-sevastopol,1350,19.5,40500
Астрахань,Сочи,https://city2city.ru/astraxan-sochi,1085,15.5,32600
Астрахань,станица Курская,https://city2city.ru/astraxan-stanicza-kurskaya,540,7.5,16000
Астрахань,Старица,https://city2city.ru/astraxan-staricza,1620,23.0,48500
Астрахань,Ставрополь,https://city2city.ru/astraxan-stavropol,580,8.5,17400
Астрахань,Тамбов,https://city2city.ru/astraxan-tambov,950,13.5,28500
Астрахань,Темрюк,https://city2city.ru/astraxan-temryuk,970,14.0,29000
Астрахань,Туапсе,https://city2city.ru/astraxan-tuapse,970,14.0,29000
Астрахань,Уфа,https://city2city.ru/astraxan-ufa,1680,24.0,50500
Астрахань,Валуйки,https://city2city.ru/astraxan-valujki,1150,16.5,34500
Астрахань,посёлок городского типа Верхний Баскунчак,https://city2city.ru/astraxan-verxnij-baskunchak,340,5.0,10200
Астрахань,поселок городского типа Волго-Каспийский,https://city2city.ru/astraxan-volgo-kaspijskij,25,0.5,2000
Астрахань,Волгодонск,https://city2city.ru/astraxan-volgodonsk,550,8.0,16500
Астрахань,Волгоград,https://city2city.ru/astraxan-volgograd,425,6.0,12800
Астрахань,Волжский,https://city2city.ru/astraxan-volzhskij,440,6.5,13200
Астрахань,Воронеж,https://city2city.ru/astraxan-voronezh,1000,14.5,30000
Астрахань,Харабали,https://city2city.ru/astraxan-xarabali,160,2.5,5300
Астрахань,Ялта,https://city2city.ru/astraxan-yalta,1345,19.0,40400
Астрахань,Заволжское сельское поселение,https://city2city.ru/astraxan-zavolzhskoe,140,2.0,4000
Астрахань,Зеленокумск,https://city2city.ru/astraxan-zelenokumsk,560,8.0,17000
Астрахань,Железноводск,https://city2city.ru/astraxan-zheleznovodsk,640,9.0,19000
Астрахань,Знаменск,https://city2city.ru/astraxan-znamensk,360,5.0,11000
Барнаул,Абакан,https://city2city.ru/barnaul-abakan,1140,16.5,34000
Барнаул,Новосибирск (Толмачёво) терминал Б,https://city2city.ru/barnaul-aeroport-tolmachevo-novosibirsk,255,3.5,7500
Барнаул,Алейск,https://city2city.ru/barnaul-alyaysk,135,2.0,4900
Барнаул,Белокуриха,https://city2city.ru/barnaul-belokuriha,225,3.0,6800
Барнаул,Бердск,https://city2city.ru/barnaul-berdsk,195,3.0,6000
Барнаул,Бийск,https://city2city.ru/barnaul-biysk-2,160,2.5,5300
Барнаул,Черепаново,https://city2city.ru/barnaul-cherepanovo-2,135,2.0,4000
Барнаул,Горно-Алтайск,https://city2city.ru/barnaul-gorno-altaysk,255,3.5,7600
Барнаул,Искитим,https://city2city.ru/barnaul-iskitim-2,180,2.5,5500
Барнаул,Красноярск,https://city2city.ru/barnaul-krasnoyarsk,920,13.0,27600
Барнаул,Кызыл,https://city2city.ru/barnaul-kyzyl,1520,21.5,45500
Барнаул,Новоалтайск,https://city2city.ru/barnaul-novoaltaysk,20,0.5,2000
Барнаул,Новокузнецк,https://city2city.ru/barnaul-novokuznetsk,410,6.0,12500
Барнаул,Омск,https://city2city.ru/barnaul-omsk,875,12.5,26000
Барнаул,Рубцовск,https://city2city.ru/barnaul-rubtsovsk,295,4.0,8800
Барнаул,Славгород,https://city2city.ru/barnaul-slavgorod,440,6.5,13000
Барнаул,Томск,https://city2city.ru/barnaul-tomsk,490,7.0,14700
Барнаул,Яровое,https://city2city.ru/barnaul-yarovoe,450,6.5,13500
Барнаул,Юрга,https://city2city.ru/barnaul-yurga,410,6.0,12500
Барнаул,Заринск,https://city2city.ru/barnaul-zarinsk,115,1.5,3500
Барнаул,Змеиногорск,https://city2city.ru/barnaul-zmeinogorsk-2,330,4.5,9900
Белгород,Адлер,https://city2city.ru/belgorod-adler,1260,18.0,38000
Белгород,Алексеевка,https://city2city.ru/belgorod-alekseevka,1260,18.0,38000
