segment;count;pct_of_total;total_freq;avg_freq;avg_price;avg_demand_score;avg_weakness_score;example_routes
SEO_GOLD_DIRECT;6;0.1%;2526;421;10900;0.560;0.812;Оренбург-Уфа, Красноярск-Енисейск, Самара-Казань, Волгоград-Урюпинск, Уфа-Баймак
SEO_INVEST_DIRECT;40;1.0%;143672;3592;28192;0.650;0.711;Ростов-на-Дону-Ростов, Донецк-Киров, Донецк-Челябинск, Донецк-Саранск, Донецк-Саратов
DIRECT_ONLY;10;0.2%;92512;9251;18350;0.715;0.376;Екатеринбург-Сибай, Челябинск-Сибай, Донецк-Волгоград, Донецк-Оренбург, Ижевск-Казань
DIRECT_TEST;587;14.0%;18626;32;27310;0.294;0.825;Самара-Уфа, Уфа-Самара, Екатеринбург-Сибай, Краснодар-Донецк, Оренбург-Казань
DIRECT_LOW;868;20.6%;2731;3;34659;0.123;0.867;Миллерово-Донецк, Астрахань-Новороссийск, Челябинск-Сосновка, Астрахань-Сочи, Уфа-Сочи
SEO_GOLD;14;0.3%;5046;360;5371;0.542;0.699;Оренбург-Орск, Ухта-Сыктывкар, Самара-Тольятти, Оренбург-Кумертау, Екатеринбург-Ирбит
SEO_INVEST;29;0.7%;58802;2028;6507;0.595;0.796;Казань-Лениногорск, Уфа-Октябрьский, Уфа-Салават, Уфа-Кумертау, Уфа-Стерлитамак
SEO_DEFEND;4;0.1%;1022;256;3575;0.520;0.408;Благовещенск-Свободный, Иркутск-Ангарск, Ижевск-Сарапул, Ижевск-Воткинск
SEO_HARD;19;0.5%;201496;10605;7205;0.698;0.335;Казань-Елабуга, Екатеринбург-Ирбит, Челябинск-Магнитогорск, Челябинск-село Учалы, Челябинск-Белорецк
SEO_AUTOPILOT;671;16.0%;28407;42;5048;0.324;0.794;Казань-Азнакаево, Северодвинск-Архангельск, Москва-Владимир, Владимир-Москва, городской округ Тюмень-Екатеринбург
SEO_MONITOR;27;0.6%;2640;98;5207;0.407;0.367;Казань-Зеленодольск, Международный аэропорт Казань-Йошкар-Ола, Международный аэропорт Казань-Чебоксары, Кемерово-Новокузнецк, международный аэропорт Кольцово Екатеринбург-Нижний Тагил
IGNORE;1929;45.9%;1069;1;16461;0.021;0.794;Пермь-Красновишерск, Ижевск-Камбарка, Екатеринбург-Сатка, Иваново-Пучеж, Саратов-Красный Кут
