city_from;city_to;page_url;template;phrase;total_count;top_1_phrase;top_1_count;top_2_phrase;top_2_count;top_3_phrase;top_3_count
аэропорт Томск (Богашёво) имени Н.И. Камова;Северск;https://city2city.ru/aeroport-bogashyovo-seversk;такси {city_from} {city_to};такси аэропорт Томск (Богашёво) имени Н.И. Камова Северск;0;;0;;0;;0
аэропорт Томск (Богашёво) имени Н.И. Камова;Северск;https://city2city.ru/aeroport-bogashyovo-seversk;трансфер {city_from} {city_to};трансфер аэропорт Томск (Богашёво) имени Н.И. Камова Северск;0;;0;;0;;0
аэропорт Томск (Богашёво) имени Н.И. Камова;Северск;https://city2city.ru/aeroport-bogashyovo-seversk;межгород {city_from} {city_to};межгород аэропорт Томск (Богашёво) имени Н.И. Камова Северск;0;;0;;0;;0
аэропорт Томск (Богашёво) имени Н.И. Камова;Северск;https://city2city.ru/aeroport-bogashyovo-seversk;такси {city_from} {city_to} цена;такси аэропорт Томск (Богашёво) имени Н.И. Камова Северск цена;0;;0;;0;;0
аэропорт Томск (Богашёво) имени Н.И. Камова;Юрга;https://city2city.ru/aeroport-bogashyovo-yurga;такси {city_from} {city_to};такси аэропорт Томск (Богашёво) имени Н.И. Камова Юрга;0;;0;;0;;0
аэропорт Томск (Богашёво) имени Н.И. Камова;Юрга;https://city2city.ru/aeroport-bogashyovo-yurga;трансфер {city_from} {city_to};трансфер аэропорт Томск (Богашёво) имени Н.И. Камова Юрга;0;;0;;0;;0
аэропорт Томск (Богашёво) имени Н.И. Камова;Юрга;https://city2city.ru/aeroport-bogashyovo-yurga;межгород {city_from} {city_to};межгород аэропорт Томск (Богашёво) имени Н.И. Камова Юрга;0;;0;;0;;0
аэропорт Томск (Богашёво) имени Н.И. Камова;Юрга;https://city2city.ru/aeroport-bogashyovo-yurga;такси {city_from} {city_to} цена;такси аэропорт Томск (Богашёво) имени Н.И. Камова Юрга цена;0;;0;;0;;0
аэропорт Гагарин;Балаково;https://city2city.ru/aeroport-gagarin-balakovo;такси {city_from} {city_to};такси аэропорт Гагарин Балаково;27;такси балаково аэропорт гагарин;27;такси аэропорт гагарин балаково цена;6;;0
аэропорт Гагарин;Балаково;https://city2city.ru/aeroport-gagarin-balakovo;трансфер {city_from} {city_to};трансфер аэропорт Гагарин Балаково;4;;0;;0;;0
аэропорт Гагарин;Балаково;https://city2city.ru/aeroport-gagarin-balakovo;межгород {city_from} {city_to};межгород аэропорт Гагарин Балаково;0;;0;;0;;0
аэропорт Гагарин;Балаково;https://city2city.ru/aeroport-gagarin-balakovo;такси {city_from} {city_to} цена;такси аэропорт Гагарин Балаково цена;6;такси аэропорт гагарин балаково цена;6;;0;;0
аэропорт Гагарин;Вольск;https://city2city.ru/aeroport-gagarin-volsk;такси {city_from} {city_to};такси аэропорт Гагарин Вольск;3;;0;;0;;0
аэропорт Гагарин;Вольск;https://city2city.ru/aeroport-gagarin-volsk;трансфер {city_from} {city_to};трансфер аэропорт Гагарин Вольск;0;;0;;0;;0
