url;title;phrase;total_count;top_1_phrase;top_1_count;top_2_phrase;top_2_count;top_3_phrase;top_3_count
taxi777-mezhgorod-moscow;Такси Москва Межгород;такси Москва Межгород;991;такси межгород из москвы;320;такси межгород из москвы недорого;89;такси межгород боровичи москва;63
moskva-abdulino;Такси Москва Абдулино;такси Москва Абдулино;0;;0;;0;;0
moskva-abinsk;Такси Москва Абинск;такси Москва Абинск;6;;0;;0;;0
moskva-achit;Такси Москва Ачит;такси Москва Ачит;0;;0;;0;;0
moskva-adler;Такси Москва Адлер;такси Москва Адлер;10;такси адлер москва;10;;0;;0
moskva-adygejsk;Такси Москва Адыгейск;такси Москва Адыгейск;0;;0;;0;;0
moskva-afanasevo;Такси Москва Афанасьево;такси Москва Афанасьево;0;;0;;0;;0
moskva-afipskij;Такси Москва Афипский;такси Москва Афипский;0;;0;;0;;0
moskva-agidel;Такси Москва Агидель;такси Москва Агидель;0;;0;;0;;0
moskva-agirish;Такси Москва Агириш;такси Москва Агириш;0;;0;;0;;0
moskva-agoj;Такси Москва Агой;такси Москва Агой;1;;0;;0;;0
moskva-agryz;Такси Москва Агрыз;такси Москва Агрыз;1;;0;;0;;0
moskva-aksubaevo;Такси Москва Аксубаево;такси Москва Аксубаево;0;;0;;0;;0
moskva-aktyubinskij;Такси Москва Актюбинский;такси Москва Актюбинский;1;;0;;0;;0
moskva-alapaevsk;Такси Москва Алапаевск;такси Москва Алапаевск;0;;0;;0;;0
moskva-alatyr;Такси Москва Алатырь;такси Москва Алатырь;11;;0;;0;;0
moskva-aleksandrov;Такси Москва Александров;такси Москва Александров;121;такси москва александров;121;такси александра москва;88;сколько стоит такси александров москва;18
moskva-aleksandrovsk;Такси Москва Александровск;такси Москва Александровск;0;;0;;0;;0
moskva-alekseevka;Такси Москва Алексеевка;такси Москва Алексеевка;5;;0;;0;;0
moskva-alekseevka-2;Такси Москва Алексеевка;такси Москва Алексеевка;5;;0;;0;;0
moskva-alekseevskoe;Такси Москва Алексеевское;такси Москва Алексеевское;4;;0;;0;;0
moskva-almetevsk;Такси Москва Альметьевск;такси Москва Альметьевск;3;;0;;0;;0
moskva-altuxovo;Такси Москва Алтухово;такси Москва Алтухово;0;;0;;0;;0
moskva-alupka;Такси Москва Алупка;такси Москва Алупка;0;;0;;0;;0
moskva-alushta;Такси Москва Алушта;такси Москва Алушта;6;;0;;0;;0
moskva-andra;Такси Москва Андра;такси Москва Андра;0;;0;;0;;0
moskva-andreapol;Такси Москва Андреаполь;такси Москва Андреаполь;0;;0;;0;;0
moskva-anna;Такси Москва Анна;такси Москва Анна;7;;0;;0;;0
moskva-apastovo;Такси Москва Апастово;такси Москва Апастово;0;;0;;0;;0
moskva-apatity;Такси Москва Апатиты;такси Москва Апатиты;0;;0;;0;;0
moskva-apsheronsk;Такси Москва Апшеронск;такси Москва Апшеронск;0;;0;;0;;0
moskva-aramil;Такси Москва Арамиль;такси Москва Арамиль;0;;0;;0;;0
moskva-arbazh;Такси Москва Арбаж;такси Москва Арбаж;0;;0;;0;;0
moskva-arefinskoe;Такси Москва Арефинское;такси Москва Арефинское;0;;0;;0;;0
moskva-arkadak;Такси Москва Аркадак;такси Москва Аркадак;2;;0;;0;;0
moskva-arkul;Такси Москва Аркуль;такси Москва Аркуль;0;;0;;0;;0
moskva-arsenevo;Такси Москва Арсеньево;такси Москва Арсеньево;0;;0;;0;;0
moskva-artemevskoe;Такси Москва Артемьевское;такси Москва Артемьевское;0;;0;;0;;0
moskva-arti;Такси Москва Арти;такси Москва Арти;0;;0;;0;;0
moskva-artyomovskij;Такси Москва Артёмовский;такси Москва Артёмовский;0;;0;;0;;0
moskva-arxangelsk;Такси Москва Архангельск;такси Москва Архангельск;20;такси архангельск москва;20;;0;;0
moskva-arya;Такси Москва Арья;такси Москва Арья;0;;0;;0;;0
moskva-arzamas;Такси Москва Арзамас;такси Москва Арзамас;17;такси арзамас москва;17;;0;;0
moskva-asbest;Такси Москва Асбест;такси Москва Асбест;1;;0;;0;;0
moskva-asha;Такси Москва Аша;такси Москва Аша;0;;0;;0;;0
moskva-ashe;Такси Москва Аше;такси Москва Аше;0;;0;;0;;0
moskva-astraxan;Такси Москва Астрахань;такси Москва Астрахань;60;такси астрахань москва;60;астрахань москва такси сколько;19;такси москва астрахань сколько стоит;10
moskva-atig;Такси Москва Атиг;такси Москва Атиг;0;;0;;0;;0
moskva-atkarsk;Такси Москва Аткарск;такси Москва Аткарск;1;;0;;0;;0
moskva-atyashevo;Такси Москва Атяшево;такси Москва Атяшево;0;;0;;0;;0
moskva-avbrau-dyurso;Такси Москва Авбрау-Дюрсо;такси Москва Авбрау-Дюрсо;0;;0;;0;;0
moskva-axtubinsk;Такси Москва Ахтубинск;такси Москва Ахтубинск;0;;0;;0;;0
moskva-axtyrskij;Такси Москва Ахтырский;такси Москва Ахтырский;0;;0;;0;;0
moskva-azish-tau;Такси Москва Азиш-Тау;такси Москва Азиш-Тау;0;;0;;0;;0
moskva-aznakaevo;Такси Москва Азнакаево;такси Москва Азнакаево;0;;0;;0;;0
moskva-babaevo;Такси Москва Бабаево;такси Москва Бабаево;0;;0;;0;;0
moskva-bakal;Такси Москва Бакал;такси Москва Бакал;0;;0;;0;;0
moskva-balabanovo;Такси Москва Балабаново;такси Москва Балабаново;14;такси москва балабаново;14;;0;;0
moskva-balabanovo-2;Такси Москва Балабаново;такси Москва Балабаново;14;такси москва балабаново;14;;0;;0
moskva-balakirevo;Такси Москва Балакирево;такси Москва Балакирево;0;;0;;0;;0
moskva-balaklava;Такси Москва Балаклава;такси Москва Балаклава;0;;0;;0;;0
moskva-balakovo;Такси Москва Балаково;такси Москва Балаково;6;;0;;0;;0
moskva-balashejka;Такси Москва Балашейка;такси Москва Балашейка;0;;0;;0;;0
moskva-balashov;Такси Москва Балашов;такси Москва Балашов;3;;0;;0;;0
moskva-balaxna;Такси Москва Балахна;такси Москва Балахна;1;;0;;0;;0
moskva-baltasi;Такси Москва Балтаси;такси Москва Балтаси;0;;0;;0;;0
moskva-barsovo;Такси Москва Барсово;такси Москва Барсово;0;;0;;0;;0
moskva-barysh;Такси Москва Барыш;такси Москва Барыш;1;;0;;0;;0
moskva-bashmakovo;Такси Москва Башмаково;такси Москва Башмаково;2;;0;;0;;0
moskva-bavly;Такси Москва Бавлы;такси Москва Бавлы;0;;0;;0;;0
moskva-baxchisaraj;Такси Москва Бахчисарай;такси Москва Бахчисарай;3;;0;;0;;0
moskva-bazarnyj-karabulak;Такси Москва Базарный Карабулак;такси Москва Базарный Карабулак;0;;0;;0;;0
moskva-bazarnyj-syzgan;Такси Москва Базарный Сызган;такси Москва Базарный Сызган;0;;0;;0;;0
moskva-bekovo;Такси Москва Беково;такси Москва Беково;0;;0;;0;;0
moskva-belaya-beryozka;Такси Москва Белая Берёзка;такси Москва Белая Берёзка;0;;0;;0;;0
moskva-belaya-glina;Такси Москва Белая Глина;такси Москва Белая Глина;0;;0;;0;;0
moskva-belaya-kalitva;Такси Москва Белая Калитва;такси Москва Белая Калитва;4;;0;;0;;0
moskva-belaya-xolunicza;Такси Москва Белая Холуница;такси Москва Белая Холуница;0;;0;;0;;0
moskva-belgorod;Такси Москва Белгород;такси Москва Белгород;303;такси москва белгород;303;такси белгород москва цена;55;такси белгород москва стоимость;42
moskva-belinskij;Такси Москва Белинский;такси Москва Белинский;0;;0;;0;;0
moskva-belomorsk;Такси Москва Беломорск;такси Москва Беломорск;0;;0;;0;;0
moskva-belorechensk;Такси Москва Белореченск;такси Москва Белореченск;3;;0;;0;;0
moskva-beloreczk;Такси Москва Белорецк;такси Москва Белорецк;0;;0;;0;;0
moskva-belousovo-2;Такси Москва Белоусово;такси Москва Белоусово;0;;0;;0;;0
moskva-beloyarskij;Такси Москва Белоярский;такси Москва Белоярский;0;;0;;0;;0
moskva-beloyarskij-2;Такси Москва Белоярский;такси Москва Белоярский;0;;0;;0;;0
moskva-belozersk;Такси Москва Белозерск;такси Москва Белозерск;0;;0;;0;;0
moskva-belushya-guba;Такси Москва Белушья Губа;такси Москва Белушья Губа;0;;0;;0;;0
moskva-belyj;Такси Москва Белый;такси Москва Белый;134;белое такси москва;134;такси белого цвета москва;20;;0
moskva-belyj-gorodok;Такси Москва Белый Городок;такси Москва Белый Городок;1;;0;;0;;0
moskva-belyj-yar;Такси Москва Белый Яр;такси Москва Белый Яр;0;;0;;0;;0
moskva-belyov;Такси Москва Белёв;такси Москва Белёв;1;;0;;0;;0
moskva-berdyaush;Такси Москва Бердяуш;такси Москва Бердяуш;0;;0;;0;;0
moskva-bereznik;Такси Москва Березник;такси Москва Березник;6;;0;;0;;0
moskva-berezniki;Такси Москва Березники;такси Москва Березники;6;;0;;0;;0
moskva-beryozovo;Такси Москва Берёзово;такси Москва Берёзово;2;;0;;0;;0
moskva-beryozovskij;Такси Москва Берёзовский;такси Москва Берёзовский;3;;0;;0;;0
moskva-betta;Такси Москва Бетта;такси Москва Бетта;0;;0;;0;;0
moskva-bezenchuk;Такси Москва Безенчук;такси Москва Безенчук;1;;0;;0;;0
moskva-bezhaniczy;Такси Москва Бежаницы;такси Москва Бежаницы;0;;0;;0;;0
moskva-bezheczk;Такси Москва Бежецк;такси Москва Бежецк;6;;0;;0;;0
moskva-birsk;Такси Москва Бирск;такси Москва Бирск;0;;0;;0;;0
moskva-biryuch;Такси Москва Бирюч;такси Москва Бирюч;0;;0;;0;;0
moskva-biser;Такси Москва Бисер;такси Москва Бисер;0;;0;;0;;0
moskva-bisert;Такси Москва Бисерть;такси Москва Бисерть;0;;0;;0;;0
moskva-blagoevo;Такси Москва Благоево;такси Москва Благоево;0;;0;;0;;0
moskva-blagoveshhensk;Такси Москва Благовещенск;такси Москва Благовещенск;28;;0;;0;;0
moskva-blizhne-pesochnoe;Такси Москва Ближне-Песочное;такси Москва Ближне-Песочное;0;;0;;0;;0
moskva-bogandinskij;Такси Москва Богандинский;такси Москва Богандинский;0;;0;;0;;0
moskva-bogatye-saby;Такси Москва Богатые Сабы;такси Москва Богатые Сабы;0;;0;;0;;0
moskva-bogdanovich;Такси Москва Богданович;такси Москва Богданович;0;;0;;0;;0
moskva-bogorodiczk;Такси Москва Богородицк;такси Москва Богородицк;10;;0;;0;;0
moskva-bogorodsk;Такси Москва Богородск;такси Москва Богородск;7;;0;;0;;0
moskva-bogorodskoe;Такси Москва Богородское;такси Москва Богородское;18;;0;;0;;0
moskva-bokovskaya;Такси Москва Боковская;такси Москва Боковская;2;;0;;0;;0
moskva-boksitogorsk;Такси Москва Бокситогорск;такси Москва Бокситогорск;0;;0;;0;;0
moskva-bolgar;Такси Москва Болгар;такси Москва Болгар;0;;0;;0;;0
moskva-bologoe;Такси Москва Бологое;такси Москва Бологое;6;;0;;0;;0
moskva-boloxovo;Такси Москва Болохово;такси Москва Болохово;5;;0;;0;;0
moskva-bolshaya-izhora;Такси Москва Большая Ижора;такси Москва Большая Ижора;0;;0;;0;;0
moskva-bolshaya-martynovka;Такси Москва Большая Мартыновка;такси Москва Большая Мартыновка;0;;0;;0;;0
moskva-bolsheselskoe;Такси Москва Большесельское;такси Москва Большесельское;0;;0;;0;;0
moskva-bolshoe-kozino;Такси Москва Большое Козино;такси Москва Большое Козино;0;;0;;0;;0
moskva-bolshoe-murashkino;Такси Москва Большое Мурашкино;такси Москва Большое Мурашкино;0;;0;;0;;0
moskva-bolshoe-polpino;Такси Москва Большое Полпино;такси Москва Большое Полпино;0;;0;;0;;0
moskva-bolshoj-utrish;Такси Москва Большой Утриш;такси Москва Большой Утриш;0;;0;;0;;0
moskva-bolxov;Такси Москва Болхов;такси Москва Болхов;1;;0;;0;;0
moskva-bor;Такси Москва Бор;такси Москва Бор;12;;0;;0;;0
moskva-borisovka;Такси Москва Борисовка;такси Москва Борисовка;1;;0;;0;;0
moskva-borovichi-2;Такси Москва Боровичи;такси Москва Боровичи;151;такси боровичи москва;151;такси межгород боровичи москва;63;маршрутное такси боровичи москва;33
moskva-borovoj;Такси Москва Боровой;такси Москва Боровой;1;;0;;0;;0
moskva-borovsk;Такси Москва Боровск;такси Москва Боровск;16;такси москва боровск;16;;0;;0
moskva-borovsk-2;Такси Москва Боровск;такси Москва Боровск;16;такси москва боровск;16;;0;;0
moskva-borovskij;Такси Москва Боровский;такси Москва Боровский;6;;0;;0;;0
