page_url;city_from;city_to;phrase;total_count;top_1_phrase;top_1_count
https://city2city.ru/ufa-oktjabrskij;Уфа;Октябрьский;такси Уфа Октябрьский;1786;такси октябрьский уфа;1786
https://city2city.ru/ufa-salavat;Уфа;Салават;такси Уфа Салават;1196;такси салават уфа;1196
https://city2city.ru/ufa-kumertau;Уфа;Кумертау;такси Уфа Кумертау;1157;такси кумертау уфа;1157
https://city2city.ru/ufa-sterlitamak;Уфа;Стерлитамак;такси Уфа Стерлитамак;1155;такси стерлитамак уфа;1155
https://city2city.ru/ufa-belebej;Уфа;Белебей;такси Уфа Белебей;1125;такси уфа белебей;1125
https://city2city.ru/ufa-tujmazy;Уфа;Туймазы;такси Уфа Туймазы;1077;такси туймазы уфа;1077
https://city2city.ru/ufa-beloreck;Уфа;Белорецк;такси Уфа Белорецк;860;такси белорецк уфа;860
https://city2city.ru/ufa-meleuz;Уфа;Мелеуз;такси Уфа Мелеуз;835;такси мелеуз уфа;835
https://city2city.ru/ufa-orenburg;Уфа;Оренбург;такси Уфа Оренбург;791;такси оренбург уфа;791
https://city2city.ru/ufa-sibaj;Уфа;Сибай;такси Уфа Сибай;721;такси сибай уфа;721
https://city2city.ru/samara-buguruslan;Самара;Бугуруслан;такси Самара Бугуруслан;706;такси бугуруслан самара;706
https://city2city.ru/ekaterinburg-chelyabinsk;международный аэропорт Кольцово Екатеринбург;Челябинск;такси Екатеринбург Челябинск;626;такси екатеринбург челябинск;626
https://city2city.ru/moskva-tula;Москва;Тула;такси Москва Тула;522;такси москва тула;522
https://city2city.ru/kazan-almetevsk;Международный аэропорт Казань;Альметьевск;такси Казань Альметьевск;479;такси казань альметьевск;479
https://city2city.ru/kazan-nizhnekamsk;Международный аэропорт Казань;Нижнекамск;такси Казань Нижнекамск;474;такси казань нижнекамск;474
https://city2city.ru/kazan-nab_chelny;Международный аэропорт Казань;Набережные Челны;такси Казань Набережные Челны;464;такси набережные челны казань;464
https://city2city.ru/moskva-ryazan;Москва;Рязань;такси Москва Рязань;461;такси москва рязань;461
https://city2city.ru/kazan-bugulma;Международный аэропорт Казань;Бугульма;такси Казань Бугульма;459;такси бугульма казань;459
https://city2city.ru/moskva-piter;Москва;Санкт-Петербург;такси Москва Санкт-Петербург;449;такси москва санкт петербург;449
https://city2city.ru/kazan-samara;Международный аэропорт Казань;Самара;такси Казань Самара;385;такси казань самара;385
https://city2city.ru/moskva-voronezh;Москва;Воронеж;такси Москва Воронеж;366;такси москва воронеж;366
https://city2city.ru/cheljabinsk-sibaj;Челябинск;Сибай;такси Челябинск Сибай;334;такси челябинск сибай;334
https://city2city.ru/ufa-magnitogorsk;Уфа;Магнитогорск;такси Уфа Магнитогорск;327;уфа магнитогорск такси;327
https://city2city.ru/moskva-tver;Москва;Тверь;такси Москва Тверь;307;такси москва тверь;307
https://city2city.ru/kazan-ufa;Международный аэропорт Казань;Уфа;такси Казань Уфа;276;такси казань уфа;276
https://city2city.ru/moskva-yaroslavl;Москва;Ярославль;такси Москва Ярославль;269;такси москва ярославль;269
https://city2city.ru/ekaterinburg-irbit;Екатеринбург;Ирбит;такси Екатеринбург Ирбит;250;такси ирбит екатеринбург;250
https://city2city.ru/ufa-neftekams;Уфа;Нефтекамск;такси Уфа Нефтекамск;249;такси уфа нефтекамск;249
https://city2city.ru/kazan-ulyanovsk;Международный аэропорт Казань;Ульяновск;такси Казань Ульяновск;234;такси казань ульяновск;234
https://city2city.ru/ufa-ishimbaj;Уфа;Ишимбай;такси Уфа Ишимбай;210;такси уфа ишимбай;210
https://city2city.ru/ufa-chelyabinsk;Уфа;Челябинск;такси Уфа Челябинск;207;такси челябинск уфа;207
https://city2city.ru/ufa-samara;Уфа;Самара;такси Уфа Самара;200;такси уфа самара;200
https://city2city.ru/kazan-yoskar_ola;Международный аэропорт Казань;Йошкар-Ола;такси Казань Йошкар-Ола;192;такси казань йошкар ола;192
https://city2city.ru/moskva-vladimir;Москва;Владимир;такси Москва Владимир;191;такси москва владимир;191
https://city2city.ru/kazan-cheboksary;Международный аэропорт Казань;Чебоксары;такси Казань Чебоксары;190;такси казань чебоксары;190
https://city2city.ru/tumen-ekaterinburg;городской округ Тюмень;Екатеринбург;такси Тюмень Екатеринбург;190;такси екатеринбург тюмень;190
https://city2city.ru/kazan-elabuga;Казань;Елабуга;такси Казань Елабуга;189;такси елабуга казань;189
https://city2city.ru/ekaterinburg-tagil;международный аэропорт Кольцово Екатеринбург;Нижний Тагил;такси Екатеринбург Нижний Тагил;182;такси екатеринбург нижний тагил;182
https://city2city.ru/svo-taxi-krasnodar-donetsk;Краснодар;Донецк;такси Краснодар Донецк;181;такси донецк краснодар;181
https://city2city.ru/ekaterinburg-ufa;международный аэропорт Кольцово Екатеринбург;Уфа;такси Екатеринбург Уфа;172;такси уфа екатеринбург;172
https://city2city.ru/ufa-ekaterinburg;Уфа;Екатеринбург;такси Уфа Екатеринбург;172;такси уфа екатеринбург;172
https://city2city.ru/cheljabinsk-magnitogorsk;Челябинск;Магнитогорск;такси Челябинск Магнитогорск;169;такси челябинск магнитогорск;169
https://city2city.ru/kazan-kirov;Международный аэропорт Казань;Киров;такси Казань Киров;169;такси казань киров;169
https://city2city.ru/svo-taxi-starobelsk-2;;Старобельск;такси  Старобельск;162;такси старобельск;162
https://city2city.ru/ekaterinburg-sibaj;Екатеринбург;Сибай;такси Екатеринбург Сибай;160;такси сибай екатеринбург;160
https://city2city.ru/moskva-borovichi;Москва;Боровичи;такси Москва Боровичи;151;такси боровичи москва;151
https://city2city.ru/cheljabinsk-beloreck;Челябинск;Белорецк;такси Челябинск Белорецк;137;такси белорецк челябинск;137
https://city2city.ru/ekaterinburg-perm;международный аэропорт Кольцово Екатеринбург;Пермь;такси Екатеринбург Пермь;129;такси екатеринбург пермь;129
https://city2city.ru/kazan-izhevsk;Международный аэропорт Казань;Ижевск;такси Казань Ижевск;126;такси казань ижевск;126
https://city2city.ru/donetsk-volgograd;Донецк;Волгоград;такси Донецк Волгоград;123;такси донецк волгоград;123
https://city2city.ru/moskva-lipetsk;Москва;Липецк;такси Москва Липецк;115;такси москва липецк;115
https://city2city.ru/svo-taxi-moskva-mariupol;Москва;Мариуполь;такси Москва Мариуполь;111;такси москва мариуполь;111
https://city2city.ru/kazan-leninogorsk;Казань;Лениногорск;такси Казань Лениногорск;106;такси лениногорск казань номер;18
https://city2city.ru/ufa-perm;Уфа;Пермь;такси Уфа Пермь;97;уфа пермь такси;97
