page_url;city_from;city_to;phrase;total_count;top_1_phrase;top_1_count;top_2_phrase;top_2_count;top_3_phrase;top_3_count;related_json
https://city2city.ru/aeroport-bogashyovo-seversk;аэропорт Томск (Богашёво) имени Н.И. Камова;Северск;такси аэропорт Томск (Богашёво) имени Н.И. Камова Северск;0;;0;;0;;0;[]
https://city2city.ru/aeroport-bogashyovo-yurga;аэропорт Томск (Богашёво) имени Н.И. Камова;Юрга;такси аэропорт Томск (Богашёво) имени Н.И. Камова Юрга;0;;0;;0;;0;[]
https://city2city.ru/aeroport-gagarin-balakovo;аэропорт Гагарин;Балаково;такси аэропорт Гагарин Балаково;30;такси балаково аэропорт гагарин;30;такси аэропорт гагарин балаково цена;6;;0;"[{""phrase"": ""такси балаково аэропорт гагарин"", ""count"": ""30""}, {""phrase"": ""такси аэропорт гагарин балаково цена"", ""count"": ""6""}]"
https://city2city.ru/aeroport-gagarin-volsk;аэропорт Гагарин;Вольск;такси аэропорт Гагарин Вольск;3;;0;;0;;0;[]
https://city2city.ru/aeroport-kolczovo-chelyabinsk;аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Челябинск;такси аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Челябинск;0;;0;;0;;0;[]
https://city2city.ru/aeroport-kolczovo-kamensk-uralskij;аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Каменск-Уральский;такси аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Каменск-Уральский;0;;0;;0;;0;[]
https://city2city.ru/aeroport-kolczovo-kurgan;аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Курган;такси аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Курган;0;;0;;0;;0;[]
https://city2city.ru/aeroport-kolczovo-miass;аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Миасс;такси аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Миасс;0;;0;;0;;0;[]
https://city2city.ru/aeroport-kolczovo-nizhnij-tagil;аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Нижний Тагил;такси аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Нижний Тагил;0;;0;;0;;0;[]
https://city2city.ru/aeroport-kolczovo-pervouralsk;аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова;Первоуральск;такси аэропорт Екатеринбург (Кольцово) имени А.Н. Демидова Первоуральск;0;;0;;0;;0;[]
